dataset,shot,seed,qnn_label,class_id,class_name,precision_baseline,recall_baseline,f1_baseline,support,accuracy_baseline,precision_qnn,recall_qnn,f1_qnn,accuracy_qnn,delta_precision,delta_recall,delta_f1,delta_accuracy,support_weighted_delta_f1,support_weighted_delta_recall
salinas,10,0,ConfidenceGuard-C + SupCon,0,Brocoli_green_weeds_1,0.9974924774322969,1.0,0.9987446648255084,1989,1.0,0.9984939759036144,1.0,0.9992464204973625,1.0,0.0010014984713175856,0.0,0.000501755671854065,0.0,0.9979920313177353,0.0
salinas,10,0,ConfidenceGuard-C + SupCon,1,Brocoli_green_weeds_2,1.0,1.0,1.0,3706,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
salinas,10,0,ConfidenceGuard-C + SupCon,2,Fallow,0.985383064516129,0.9994887525562371,0.9923857868020304,1956,0.9994887525562371,0.9888776541961576,1.0,0.9944077275038128,1.0,0.0034945896800285814,0.0005112474437628522,0.00202194070178241,0.0005112474437628522,3.9549160126863936,1.000000000000139
salinas,10,0,ConfidenceGuard-C + SupCon,3,Fallow_rough_plow,0.6946992864424058,0.9919941775836972,0.8171462829736211,1374,0.9919941775836972,0.9612948627726952,0.9941775836972344,0.9774597495527728,0.9941775836972344,0.2665955763302894,0.0021834061135371785,0.1603134665791517,0.0021834061135371785,220.2707030797544,3.0000000000000835
salinas,10,0,ConfidenceGuard-C + SupCon,4,Fallow_smooth,0.9879786286731967,0.8348382242287434,0.9049755301794452,2658,0.8348382242287434,0.9898572501878288,0.991346877351392,0.9906015037593984,0.991346877351392,0.0018786215146320284,0.1565086531226486,0.08562597357995316,0.1565086531226486,227.5938377755155,416.0
salinas,10,0,ConfidenceGuard-C + SupCon,5,Stubble,0.9105409153952844,1.0,0.9531760435571688,3939,1.0,0.9992387718853084,0.9997461284589998,0.999492385786802,0.9997461284589998,0.08869785649002404,-0.0002538715410002057,0.04631634222963321,-0.0002538715410002057,182.44007204252523,-0.9999999999998103
salinas,10,0,ConfidenceGuard-C + SupCon,6,Celery,1.0,0.8870469232930599,0.9401429422275164,3559,0.8870469232930599,0.999718864211414,0.9991570665917392,0.9994378864530636,0.9991570665917392,-0.00028113578858601773,0.1121101432986793,0.059294944225547264,0.1121101432986793,211.0307064987227,398.9999999999996
salinas,10,0,ConfidenceGuard-C + SupCon,7,Grapes_untrained,0.9197166469893744,0.7616211892276242,0.8332360949047063,11251,0.7616211892276242,0.68996138996139,0.635321304772909,0.6615149692286336,0.635321304772909,-0.22975525702798438,-0.12629988445471518,-0.17172112567607267,-0.12629988445471518,-1932.0343849814935,-1421.0000000000005
salinas,10,0,ConfidenceGuard-C + SupCon,8,Soil_vinyard_develop,0.9930934789592032,1.0,0.9965347731485212,6183,1.0,0.9934125964010284,1.0,0.9966954138792616,1.0,0.00031911744182522295,0.0,0.0001606407307404023,0.0,0.9932416381679074,0.0
salinas,10,0,ConfidenceGuard-C + SupCon,9,Corn_senesced_green_weeds,0.9960732984293194,0.9343155310006138,0.9642065251821348,3258,0.9343155310006138,0.9913015463917526,0.9444444444444444,0.9673058786545112,0.9444444444444444,-0.0047717520375667455,0.0101289134438306,0.0030993534723764427,0.0101289134438306,10.09769361300245,33.0000000000001
salinas,10,0,ConfidenceGuard-C + SupCon,10,Lettuce_romaine_4wk,0.9605866177818516,1.0,0.9798971482000935,1048,1.0,0.9640552995391704,0.9980916030534353,0.9807782466010314,0.9980916030534353,0.0034686817573187367,-0.00190839694656475,0.0008810984009378631,-0.00190839694656475,0.9233911241828805,-1.999999999999858
salinas,10,0,ConfidenceGuard-C + SupCon,11,Lettuce_romaine_5wk,1.0,0.995280545359203,0.997634691195795,1907,0.995280545359203,1.0,1.0,1.0,1.0,0.0,0.004719454640797038,0.0023653088042050463,0.004719454640797038,4.510643889619024,8.999999999999952
salinas,10,0,ConfidenceGuard-C + SupCon,12,Lettuce_romaine_6wk,1.0,0.8705357142857143,0.9307875894988068,896,0.8705357142857143,0.9657458563535912,0.9754464285714286,0.9705719044975014,0.9754464285714286,-0.034254143646408775,0.1049107142857143,0.039784314998694614,0.1049107142857143,35.646746238830374,94.00000000000001
salinas,10,0,ConfidenceGuard-C + SupCon,13,Lettuce_romaine_7wk,0.8209538702111024,1.0,0.90167453842851,1050,1.0,0.9099821746880572,0.9723809523809523,0.940147329650092,0.9723809523809523,0.08902830447695476,-0.027619047619047654,0.03847279122158198,-0.027619047619047654,40.39643078266108,-29.000000000000036
salinas,10,0,ConfidenceGuard-C + SupCon,14,Vinyard_untrained,0.7061111111111111,0.8767935982339956,0.7822501230920729,7248,0.8767935982339956,0.4944154877140729,0.5496688741721855,0.5205801646413172,0.5496688741721855,-0.21169562339703824,-0.32712472406181015,-0.2616699584507557,-0.32712472406181015,-1896.5838588510771,-2371.0
salinas,10,0,ConfidenceGuard-C + SupCon,15,Vinyard_vertical_trellis,1.0,1.0,1.0,1787,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
salinas,10,1,ConfidenceGuard-C + SupCon,0,Brocoli_green_weeds_1,0.999497487437186,1.0,0.9997486805730084,1989,1.0,1.0,0.9984917043740572,0.999245283018868,0.9984917043740572,0.0005025125628139726,-0.0015082956259427904,-0.0005033975541404168,-0.0015082956259427904,-1.001257735185289,-3.00000000000021
salinas,10,1,ConfidenceGuard-C + SupCon,1,Brocoli_green_weeds_2,1.0,0.999190501888829,0.9995950870562827,3706,0.999190501888829,0.9991911566459962,1.0,0.9995954146999324,1.0,-0.0008088433540037743,0.0008094981111710364,3.276436496557622e-07,0.0008094981111710364,0.0012142473656242547,2.999999999999861
salinas,10,1,ConfidenceGuard-C + SupCon,2,Fallow,0.990379746835443,1.0,0.995166624268634,1956,1.0,0.9954198473282444,1.0,0.9977046671767408,1.0,0.005040100492801347,0.0,0.0025380429081067746,0.0,4.964411928256851,0.0
salinas,10,1,ConfidenceGuard-C + SupCon,3,Fallow_rough_plow,0.8914174252275683,0.9978165938864628,0.9416208791208792,1374,0.9978165938864628,0.8841698841698842,1.0,0.9385245901639344,1.0,-0.007247541057684104,0.0021834061135371785,-0.0030962889569448038,0.0021834061135371785,-4.25430102684216,3.0000000000000835
salinas,10,1,ConfidenceGuard-C + SupCon,4,Fallow_smooth,0.9969207082371054,0.9744168547780286,0.9855403348554034,2658,0.9744168547780286,0.9980322707595436,0.9541008276899924,0.975572225427967,0.9541008276899924,0.0011115625224381587,-0.02031602708803626,-0.009968109427436422,-0.02031602708803626,-26.49523485812601,-54.00000000000038
salinas,10,1,ConfidenceGuard-C + SupCon,5,Stubble,0.9994918699186992,0.9987306422949987,0.9991111111111112,3939,0.9987306422949987,0.9997458703939008,0.9987306422949987,0.9992379984759968,0.9987306422949987,0.00025400047520163227,0.0,0.00012688736488564167,0.0,0.49980933028454255,0.0
salinas,10,1,ConfidenceGuard-C + SupCon,6,Celery,1.0,0.9949423995504356,0.9974647887323944,3559,0.9949423995504356,1.0,0.9988760887889856,0.9994377284228282,0.9988760887889856,0.0,0.0039336892385499755,0.0019729396904337726,0.0039336892385499755,7.021692358253796,13.999999999999362
salinas,10,1,ConfidenceGuard-C + SupCon,7,Grapes_untrained,0.9244084338458706,0.8923651231001689,0.9081041968162084,11251,0.8923651231001689,0.9291454331634652,0.8426806506088348,0.8838033092519226,0.8426806506088348,0.004736999317594637,-0.04968447249133412,-0.024300887564285722,-0.04968447249133412,-273.40928598577864,-559.0000000000002
salinas,10,1,ConfidenceGuard-C + SupCon,8,Soil_vinyard_develop,0.9998382923673996,1.0,0.9999191396458316,6183,1.0,0.9993534831097464,1.0,0.9996766370250606,1.0,-0.00048480925765326255,0.0,-0.00024250262077096796,0.0,-1.499393704226895,0.0
salinas,10,1,ConfidenceGuard-C + SupCon,9,Corn_senesced_green_weeds,0.9960122699386504,0.9966236955187232,0.9963178889229826,3258,0.9966236955187232,0.9941753525444512,0.9953959484346224,0.9947852760736196,0.9953959484346224,-0.0018369173941992223,-0.0012277470841007831,-0.0015326128493630131,-0.0012277470841007831,-4.9932526632246965,-4.000000000000352
salinas,10,1,ConfidenceGuard-C + SupCon,10,Lettuce_romaine_4wk,0.9570776255707762,1.0,0.978068128791414,1048,1.0,0.9081455805892548,1.0,0.9518619436875568,1.0,-0.04893204498152148,0.0,-0.026206185103857194,0.0,-27.464081988842338,0.0
salinas,10,1,ConfidenceGuard-C + SupCon,11,Lettuce_romaine_5wk,1.0,0.958049292081804,0.9785752544188536,1907,0.958049292081804,1.0,0.9202936549554274,0.9584926269797924,0.9202936549554274,0.0,-0.03775563712637664,-0.020082627439061196,-0.03775563712637664,-38.297570526289704,-72.00000000000026
salinas,10,1,ConfidenceGuard-C + SupCon,12,Lettuce_romaine_6wk,0.9531914893617022,1.0,0.9760348583877996,896,1.0,0.9402347918890076,0.9832589285714286,0.96126568466994,0.9832589285714286,-0.012956697472694567,-0.016741071428571397,-0.014769173717859574,-0.016741071428571397,-13.233179651202178,-14.999999999999972
salinas,10,1,ConfidenceGuard-C + SupCon,13,Lettuce_romaine_7wk,0.9904580152671756,0.9885714285714284,0.9895138226882746,1050,0.9885714285714284,0.9810964083175804,0.9885714285714284,0.9848197343453512,0.9885714285714284,-0.009361606949595203,0.0,-0.004694088342923397,0.0,-4.928792760069567,0.0
salinas,10,1,ConfidenceGuard-C + SupCon,14,Vinyard_untrained,0.8421472229604039,0.8744481236203091,0.8579937728441858,7248,0.8744481236203091,0.7867396593673966,0.8922461368653422,0.8361779156969227,0.8922461368653422,-0.05540756359300725,0.01779801324503305,-0.021815857147263085,0.01779801324503305,-158.12133260336284,128.99999999999955
salinas,10,1,ConfidenceGuard-C + SupCon,15,Vinyard_vertical_trellis,1.0,1.0,1.0,1787,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
salinas,10,2,ConfidenceGuard-C + SupCon,0,Brocoli_green_weeds_1,1.0,1.0,1.0,1989,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
salinas,10,2,ConfidenceGuard-C + SupCon,1,Brocoli_green_weeds_2,1.0,0.9997301672962764,0.99986506544326,3706,0.9997301672962764,1.0,1.0,1.0,1.0,0.0,0.0002698327037236048,0.0001349345567399629,0.0002698327037236048,0.5000674672783025,0.9999999999996794
salinas,10,2,ConfidenceGuard-C + SupCon,2,Fallow,0.998468606431853,1.0,0.9992337164750956,1956,1.0,0.9949135300101728,1.0,0.9974502804691484,1.0,-0.003555076421680181,0.0,-0.0017834360059472143,0.0,-3.488400827632751,0.0
salinas,10,2,ConfidenceGuard-C + SupCon,3,Fallow_rough_plow,0.8297742525930445,0.9898107714701602,0.9027547295054764,1374,0.9898107714701602,0.8856400259909032,0.9919941775836972,0.9358050120151048,0.9919941775836972,0.0558657733978587,0.0021834061135370675,0.03305028250962838,0.0021834061135370675,45.4110881682294,2.9999999999999307
salinas,10,2,ConfidenceGuard-C + SupCon,4,Fallow_smooth,0.9928994082840236,0.9469525959367946,0.9693818601964184,2658,0.9469525959367946,0.9957854406130268,0.9778028592927012,0.9867122247532272,0.9778028592927012,0.0028860323290031964,0.03085026335590657,0.01733036455680881,0.03085026335590657,46.06410899199781,81.99999999999966
salinas,10,2,ConfidenceGuard-C + SupCon,5,Stubble,0.9887048192771084,1.0,0.9943203332071184,3939,1.0,0.9987316083206494,0.9994922569179996,0.9991117878441822,0.9994922569179996,0.01002678904354104,-0.0005077430820004114,0.004791454637063763,-0.0005077430820004114,18.873539815394164,-1.9999999999996205
