dataset,shot,model,loss_type,seed,oa,aa,kappa,macro_f1,weighted_f1
indian_pines,5,Spectral QNN Gated Fusion,SupCon,0,0.7302474062250599,0.8323811241200705,0.6987081069828313,0.6596729226975901,0.7464563016276304
indian_pines,5,Spectral QNN Gated Fusion,SupCon,1,0.7149840383080607,0.8200980687224098,0.6813449624055599,0.6309207618797972,0.7149168954656364
indian_pines,5,Spectral QNN Gated Fusion,SupCon,2,0.7022146847565842,0.8167657275191622,0.6650366345540755,0.6188105280733806,0.6982438229697833
indian_pines,5,Spectral QNN Gated Fusion,SupCon,3,0.7127893056664006,0.8292449265463113,0.6792434300305753,0.6507672754230125,0.7359476587011572
indian_pines,5,Spectral QNN Gated Fusion,SupCon,4,0.7426177174780527,0.8288463645790036,0.7099808175412828,0.6418005021822712,0.7499311646000644
indian_pines,10,Spectral QNN Gated Fusion,SupCon,0,0.7792299185684126,0.8682868768988311,0.7526397574241184,0.6916477173003337,0.7903005634768404
indian_pines,10,Spectral QNN Gated Fusion,SupCon,1,0.7917965215642907,0.881295498071403,0.7661679840092523,0.7063450942118759,0.796709618522603
indian_pines,10,Spectral QNN Gated Fusion,SupCon,2,0.8438725243792098,0.9039820197152244,0.8234861474761146,0.7444772419553803,0.8544749911242434
indian_pines,10,Spectral QNN Gated Fusion,SupCon,3,0.8122046848295968,0.9037635613491118,0.7887923183996326,0.7435616300329638,0.8169051039611158
indian_pines,10,Spectral QNN Gated Fusion,SupCon,4,0.8264803458329144,0.8951158600197349,0.8037452045036134,0.7271495912542059,0.8311370566815837
pavia_university,5,Spectral QNN Gated Fusion,SupCon,0,0.8205952018010835,0.8503590293491589,0.7714655802991467,0.7923815578720147,0.8291264016782426
pavia_university,5,Spectral QNN Gated Fusion,SupCon,1,0.8062662695527778,0.8405973770864106,0.7539504359607206,0.7952284231960874,0.8150016900373408
pavia_university,5,Spectral QNN Gated Fusion,SupCon,2,0.7046035505733919,0.8004109492628017,0.6390786182380375,0.7194711966466525,0.7229402864845843
pavia_university,5,Spectral QNN Gated Fusion,SupCon,3,0.7736919865856805,0.8240616189986394,0.7167733627449617,0.7711960014492211,0.7899254084516181
pavia_university,5,Spectral QNN Gated Fusion,SupCon,4,0.8004971740812833,0.8243363057306815,0.7403713312137085,0.7923710844331906,0.8029041332613505
pavia_university,10,Spectral QNN Gated Fusion,SupCon,0,0.903512066860738,0.9051284184933952,0.8738486345918208,0.8700537377498355,0.9041164513652736
pavia_university,10,Spectral QNN Gated Fusion,SupCon,1,0.8434125269978402,0.8886314223042958,0.7998621721369081,0.8532162899017094,0.8489699783453691
pavia_university,10,Spectral QNN Gated Fusion,SupCon,2,0.8734388205465302,0.9253957937868444,0.8390692659513661,0.8781536174849733,0.8858085461886022
pavia_university,10,Spectral QNN Gated Fusion,SupCon,3,0.857451403887689,0.9012849848090267,0.8163500853118593,0.8763719534202035,0.8584587424802869
pavia_university,10,Spectral QNN Gated Fusion,SupCon,4,0.839656305756409,0.8889498302362351,0.7963727574134248,0.851711638634401,0.8542805279083988
salinas,5,Spectral QNN Gated Fusion,SupCon,0,0.8535137040954555,0.9249448438682162,0.8376412752396795,0.9161118853562288,0.8542351868057139
salinas,5,Spectral QNN Gated Fusion,SupCon,1,0.8155282154057414,0.9112576708850446,0.7947417341464929,0.9051924176461716,0.8163117337556022
salinas,5,Spectral QNN Gated Fusion,SupCon,2,0.883315704503702,0.9445190170597012,0.87007875156479,0.9362278018284144,0.883231272171806
salinas,5,Spectral QNN Gated Fusion,SupCon,3,0.8328230251071648,0.9254780653073036,0.8140116872556775,0.923558632234546,0.8340286151492275
salinas,5,Spectral QNN Gated Fusion,SupCon,4,0.8939672289335486,0.9412715389680588,0.8826043303872393,0.9310978134817192,0.8944741397529137
salinas,10,Spectral QNN Gated Fusion,SupCon,0,0.8608597074838782,0.934385460568984,0.8444617904371882,0.930041179097209,0.853752225602723
salinas,10,Spectral QNN Gated Fusion,SupCon,1,0.9493764983552936,0.9761825755731262,0.9436753873696369,0.971269683919998,0.9496468503670324
salinas,10,Spectral QNN Gated Fusion,SupCon,2,0.92570016168299,0.9658116945285588,0.9172495514701936,0.9614971704434248,0.9253621865144328
salinas,10,Spectral QNN Gated Fusion,SupCon,3,0.9081752123250756,0.9588265578516976,0.8979048015150849,0.953711151000458,0.9091158928743988
salinas,10,Spectral QNN Gated Fusion,SupCon,4,0.9415711126391496,0.9751096775211124,0.9351377114748106,0.9686916147585508,0.9421908542725416
