model_group,model,OA,AA,Kappa,Macro-F1,Weighted-F1,tuned,note
MLP Head,mlp_h256_d0.0_lr0.003,0.8404878048780487,0.7719065684573655,0.8172576419856803,0.7854943076329604,0.8376895501588736,True,best in tuning grid
Residual QNN,Residual QNN full,0.7834146341463415,0.7896108736858571,0.755470272163743,0.7740833242966624,0.7839292394252398,True,LayerNorm + pi*tanh + residual; best by validation Macro-F1
Residual Reupload Multiobs QNN,Residual Reupload Multiobs QNN full,0.7873170731707317,0.7425494586047694,0.7532298549978642,0.7613287497005108,0.770818937706203,True,data re-uploading + Z and ZZ readout + residual
Bottleneck Head,bottleneck_b32_relu_lr0.01,0.8159756097560975,0.7551738054312565,0.7903302773429309,0.7567555868859362,0.814030164312075,True,best in tuning grid
Linear Head,linear_lr0.01,0.8004878048780488,0.7062559352367467,0.7693564597873954,0.7333334748725702,0.794266059534071,True,best in tuning grid
HybridSN,hybridsn,0.81,0.6869055181123002,0.7826937615116932,0.6996856542661678,0.8047530426623332,False,initial deep baseline
2D-CNN,cnn2d,0.7576829268292683,0.5993210546478902,0.720599432487639,0.60954295901424,0.7450510351900312,False,initial deep baseline
SVM-RBF,svm_C10_gammascale,0.6840243902439025,0.5612900101837002,0.6347898028483412,0.5836442560088925,0.6706932251098382,True,best in tuning grid
kNN,knn,0.6070731707317073,0.4774039934918158,0.5448107636255828,0.4793084211551734,0.5804989546219202,False,PCA spectral vector baseline
Random Forest,random_forest,0.6329268292682927,0.4735971423498265,0.568056253139126,0.474563456999558,0.5920990811102125,False,PCA spectral vector baseline
3D-CNN,cnn3d,0.27,0.1210700241234592,0.104808260686651,0.0447811294579011,0.1246740872180315,False,initial deep baseline
1D-CNN,cnn1d,0.1397560975609756,0.1057163646629159,0.0229033774064675,0.0203057020514973,0.0398645405800317,False,initial deep baseline
