0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,724,2,0,0,11,1,1,0,78,199,122,0,0,3,75
0,25,360,66,42,0,0,0,33,15,32,2,218,0,21,1
0,0,0,202,0,0,0,0,0,0,0,20,0,0,0,0
0,0,0,0,318,64,42,0,3,0,0,4,23,0,14,0
0,28,0,0,0,610,0,0,55,0,13,4,5,0,0,0
0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,463,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
26,95,15,0,0,4,0,0,0,662,3,53,67,4,28,0
0,205,0,0,0,73,0,56,5,41,1923,0,98,0,39,0
0,5,22,3,0,2,0,0,3,15,0,458,0,0,5,65
0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0
0,6,0,15,104,8,0,34,0,5,33,11,8,917,109,0
0,0,0,0,0,0,0,0,0,0,0,20,0,0,351,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78
