0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3706,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1955,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1363,11,0,0,0,0,0,0,0,0,0,0,0
0,0,0,439,2219,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,3939,0,0,0,0,0,0,0,0,0,0
0,0,0,0,15,387,3157,0,0,0,0,0,0,0,0,0
5,0,0,16,0,0,0,8569,0,11,0,0,0,5,2645,0
0,0,0,0,0,0,0,0,6183,0,0,0,0,0,0,0
0,0,29,0,0,0,0,0,43,3044,34,0,0,108,0,0
0,0,0,0,0,0,0,0,0,0,1048,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,9,1898,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,780,116,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1050,0,0
0,0,0,144,0,0,0,748,0,1,0,0,0,0,6355,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1787
