class_id,class_name,precision,recall,f1,support,accuracy
0,Brocoli_green_weeds_1,1.0,1.0,1.0,1989,1.0
1,Brocoli_green_weeds_2,1.0,1.0,1.0,3706,1.0
2,Fallow,0.9868819374369324,1.0,0.9933976637887253,1956,1.0
3,Fallow_rough_plow,0.7624861265260822,1.0,0.8652392947103275,1374,1.0
4,Fallow_smooth,0.9995625546806649,0.8596689240030098,0.9243527508090615,2658,0.8596689240030098
5,Stubble,0.9972151898734177,1.0,0.9986056534415009,3939,1.0
6,Celery,1.0,0.9969092441697106,0.9984522301955818,3559,0.9969092441697106
7,Grapes_untrained,0.8978892296590294,0.8847213581015021,0.8912566593544343,11251,0.8847213581015021
8,Soil_vinyard_develop,0.9993534831097463,1.0,0.9996766370250606,6183,1.0
9,Corn_senesced_green_weeds,0.9977966635190432,0.9729895641497851,0.9852369852369852,3258,0.9729895641497851
10,Lettuce_romaine_4wk,0.8926746166950597,1.0,0.9432943294329433,1048,1.0
11,Lettuce_romaine_5wk,0.989685124864278,0.955951756685894,0.9725260069351828,1907,0.955951756685894
12,Lettuce_romaine_6wk,0.9977220956719818,0.9776785714285714,0.9875986471251409,896,0.9776785714285714
13,Lettuce_romaine_7wk,0.9848771266540642,0.9923809523809524,0.9886148007590133,1050,0.9923809523809524
14,Vinyard_untrained,0.8241444866920152,0.8373344370860927,0.8306871064878182,7248,0.8373344370860927
15,Vinyard_vertical_trellis,1.0,0.996082820369334,0.9980375665825624,1787,0.996082820369334
