0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,701,188,68,3,31,0,0,0,181,66,117,18,0,4,22
0,5,333,56,24,0,0,0,54,0,0,78,265,0,0,0
0,0,0,222,0,0,0,0,0,0,0,0,0,0,0,0
0,0,18,0,332,9,33,0,0,0,0,0,76,0,0,0
0,27,0,16,22,626,0,0,11,0,6,0,7,0,0,0
0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0
0,0,0,0,2,0,0,461,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
33,60,67,4,3,3,0,0,0,681,19,2,85,0,0,0
6,100,356,0,24,158,0,0,0,491,1197,0,72,0,36,0
0,1,95,9,0,3,0,0,3,0,0,270,0,0,10,187
0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0
0,49,77,7,146,0,0,0,0,17,20,0,0,891,42,1
0,0,9,0,0,0,0,0,0,0,0,0,0,0,362,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78
