class_id,class_name,precision,recall,f1,support
0,Alfalfa,0.32142857142857145,1.0,0.4864864864864865,36
1,Corn-notill,1.0,0.009880028228652082,0.019566736547868623,1417
2,Corn-mintill,0.8333333333333334,0.10378510378510379,0.18458197611292074,819
3,Corn,0.17404129793510326,0.7831858407079646,0.2847948511665326,226
4,Grass-pasture,0.7887323943661971,0.4745762711864407,0.5925925925925926,472
5,Grass-trees,0.0,0.0,0.0,719
6,Grass-pasture-mowed,0.05789473684210526,1.0,0.10945273631840796,22
7,Hay-windrowed,0.5654911838790933,0.961456102783726,0.7121332275971451,467
8,Oats,0.043010752688172046,1.0,0.08247422680412371,16
9,Soybean-notill,0.22149122807017543,0.10509885535900104,0.14255469301340862,961
10,Soybean-mintill,0.5942571785268415,0.5842880523731587,0.5892304518258716,2444
11,Soybean-clean,0.28500823723228996,0.2972508591065292,0.2910008410428932,582
12,Wheat,0.1322314049586777,0.8247422680412371,0.22792022792022792,194
13,Woods,0.9952038369304557,0.6618819776714514,0.7950191570881227,1254
14,Buildings-Grass-Trees-Drives,0.18400687876182287,0.5706666666666667,0.27828348504551365,375
15,Stone-Steel-Towers,0.23076923076923078,0.9512195121951219,0.37142857142857144,82
