0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0
0,0,0,74,0,212,17,339,2,743,0,0,25,5,0,0
0,0,0,0,0,65,0,266,0,460,15,0,13,0,0,0
0,0,0,0,0,123,0,39,0,62,0,0,2,0,0,0
0,0,0,0,0,3,0,28,0,441,0,0,0,0,0,0
0,0,0,3,0,300,5,281,0,128,0,0,2,0,0,0
0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0
0,0,0,0,0,0,0,5,0,462,0,0,0,0,0,0
0,0,0,0,0,1,0,15,0,0,0,0,0,0,0,0
0,0,0,134,0,33,4,592,0,198,0,0,0,0,0,0
0,0,0,413,0,14,4,959,32,935,0,0,42,45,0,0
0,0,0,0,0,39,0,252,42,152,49,0,12,0,36,0
0,0,0,0,0,0,0,0,0,194,0,0,0,0,0,0
0,0,0,7,0,22,25,190,23,981,0,0,6,0,0,0
0,0,0,0,0,0,34,62,143,80,0,0,0,0,56,0
0,0,0,0,0,0,0,79,0,3,0,0,0,0,0,0
