0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,934,53,3,0,18,0,0,0,201,30,30,0,2,89,6
0,0,435,7,0,0,0,0,43,11,14,214,77,0,14,0
0,0,0,189,0,0,0,0,0,0,0,33,0,0,0,0
0,0,17,0,348,0,33,0,7,0,0,18,25,20,0,0
0,33,0,0,0,615,0,0,44,0,7,0,0,16,0,0
0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,463,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
15,34,13,0,0,1,0,0,0,821,11,59,0,1,2,0
16,198,0,0,0,87,2,84,2,22,1539,279,82,0,129,0
0,24,67,3,0,0,0,0,0,0,0,268,0,0,131,85
0,0,1,0,0,0,0,0,0,0,0,0,189,0,0,0
0,0,1,0,0,0,0,42,0,5,0,5,13,1056,128,0
0,0,0,0,0,0,0,0,0,0,0,14,0,0,357,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78
