class_id,class_name,precision,recall,f1,support
0,Alfalfa,0.2248062015503876,1.0,0.3670886075949367,29
1,Corn-notill,0.7857142857142857,0.65625,0.7151702786377709,1408
2,Corn-mintill,0.6803482587064676,0.6753086419753086,0.677819083023544,810
3,Corn,0.6326530612244898,1.0,0.775,217
4,Grass-pasture,0.9837133550488599,0.652267818574514,0.7844155844155845,463
5,Grass-trees,0.7764565992865636,0.9197183098591549,0.8420373952288845,710
6,Grass-pasture-mowed,0.2054794520547945,1.0,0.3409090909090909,15
7,Hay-windrowed,0.8980392156862745,1.0,0.9462809917355371,458
8,Oats,0.1702127659574468,1.0,0.2909090909090909,8
9,Soybean-notill,0.6814449917898193,0.8718487394957983,0.7649769585253456,952
10,Soybean-mintill,0.9861030689056167,0.6993839835728953,0.818356559346468,2435
11,Soybean-clean,0.7559523809523809,0.6649214659685864,0.7075208913649025,573
12,Wheat,0.5082417582417582,1.0,0.6739526411657559,185
13,Woods,0.9359875097580016,0.9630522088353414,0.9493269992082344,1245
14,Buildings-Grass-Trees-Drives,0.6998087954110899,1.0,0.8233970753655793,366
15,Stone-Steel-Towers,0.73,1.0,0.8439306358381503,73
