0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,925,6,22,0,40,0,0,0,239,2,34,0,13,42,8
0,0,545,75,8,0,0,0,22,97,3,0,60,0,0,0
0,0,0,217,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,302,44,63,0,0,18,0,0,36,0,0,0
0,0,0,7,0,638,0,0,25,0,11,0,0,29,0,0
0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,458,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0
23,64,0,0,0,0,0,2,0,817,0,15,0,16,15,0
0,211,88,0,0,84,0,44,0,49,1748,57,61,21,72,0
0,3,97,51,0,6,0,0,2,13,0,367,0,0,7,27
0,0,0,0,0,0,0,0,0,0,0,0,185,0,0,0
0,0,0,0,0,0,0,5,0,0,0,0,0,1199,41,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73
