0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1000,27,50,0,65,0,0,0,63,52,12,22,0,80,19
0,0,180,60,81,4,0,0,39,196,75,31,124,3,18,4
0,0,34,187,0,1,0,0,0,0,0,0,0,0,0,0
0,54,0,0,306,0,57,0,0,0,0,16,33,0,2,0
0,3,0,1,0,669,0,0,18,0,2,0,0,22,0,0
0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,463,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,0
22,91,6,0,2,5,0,4,0,736,6,54,0,5,26,0
0,158,159,39,0,151,0,25,4,85,1499,54,156,60,46,4
0,10,13,169,0,19,0,0,0,0,4,270,0,0,21,72
0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0
0,0,0,0,2,0,0,23,0,1,0,0,0,1103,121,0
0,0,0,0,0,0,0,0,0,0,0,0,8,0,363,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78
