0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12,1063,12,33,0,82,0,0,0,38,41,10,27,0,81,14
0,0,28,51,86,7,0,0,33,268,138,23,147,6,18,10
0,0,38,172,0,3,0,0,0,0,0,0,9,0,0,0
0,65,0,0,306,0,57,0,0,0,0,13,22,0,5,0
0,2,0,0,0,685,1,0,5,0,0,0,0,22,0,0
0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,463,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,0
28,110,1,0,13,8,0,7,0,705,5,45,0,3,32,0
0,194,101,36,0,184,0,13,3,101,1431,13,231,69,61,3
0,17,20,152,0,30,0,0,0,0,7,261,2,0,33,56
0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0
0,0,0,0,10,0,3,23,0,1,0,0,0,1075,138,0
0,0,0,0,0,0,0,0,0,0,0,0,8,0,363,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78
