class_id,class_name,precision,recall,f1,support
0,Alfalfa,0.1346938775510204,1.0,0.23741007194244604,33
1,Corn-notill,0.7373974208675264,0.4451521585279547,0.5551632833186231,1413
2,Corn-mintill,0.8574144486692015,0.5533742331288344,0.6726323639075317,815
3,Corn,0.6381578947368421,0.8738738738738738,0.7376425855513308,222
4,Grass-pasture,0.6659619450317125,0.6730769230769231,0.6695005313496281,468
5,Grass-trees,0.810880829015544,0.8755244755244755,0.8419636852723604,715
6,Grass-pasture-mowed,0.2878787878787879,1.0,0.4470588235294118,19
7,Hay-windrowed,0.7969018932874354,1.0,0.8869731800766284,463
8,Oats,0.16129032258064516,0.8333333333333334,0.2702702702702703,12
9,Soybean-notill,0.8264058679706602,0.7063740856844305,0.7616901408450705,957
10,Soybean-mintill,0.8557213930348259,0.8459016393442623,0.8507831821929102,2440
11,Soybean-clean,0.6261261261261262,0.7214532871972318,0.6704180064308681,578
12,Wheat,0.4491725768321513,1.0,0.6199021207177814,190
13,Woods,0.9761129207383279,0.7192,0.8281897742975587,1250
14,Buildings-Grass-Trees-Drives,0.5293276108726752,0.9973045822102425,0.6915887850467289,371
15,Stone-Steel-Towers,0.3694581280788177,0.9615384615384616,0.5338078291814946,78
