0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
32,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
92,385,56,0,0,0,0,0,0,239,280,14,21,0,212,114
0,1,437,0,4,0,0,0,83,0,0,159,87,42,2,0
0,0,22,200,0,0,0,0,0,0,0,0,0,0,0,0
0,0,18,0,368,0,57,0,0,0,0,0,25,0,0,0
0,0,0,0,9,529,0,0,96,0,52,0,9,0,20,0
0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,463,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
3,45,160,1,0,0,0,0,0,658,54,2,0,2,16,16
0,5,61,6,29,39,0,63,1,19,1830,0,26,293,68,0
0,43,101,3,0,0,0,0,5,0,0,163,0,0,60,203
0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0
0,0,0,0,1,14,0,11,0,6,0,0,0,1158,60,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,370,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78
