0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,427,45,0,0,4,0,0,0,210,310,15,26,2,176,115
0,1,391,0,6,0,0,0,74,1,0,166,126,49,1,0
0,0,15,207,0,0,0,0,0,0,0,0,0,0,0,0
0,0,18,0,366,0,57,0,0,0,0,0,27,0,0,0
0,0,0,0,6,551,0,0,97,0,54,0,1,0,6,0
0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,463,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
8,34,162,0,0,0,0,0,0,659,57,0,0,3,15,19
0,3,46,20,37,45,2,61,0,21,1821,0,32,291,61,0
0,65,87,6,0,0,0,0,4,0,0,159,0,0,48,209
0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0
0,0,0,0,0,10,0,4,0,4,0,0,0,1182,50,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,371,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78
