class_id,class_name,precision,recall,f1,support
0,Alfalfa,0.4125,1.0,0.584070796460177,33
1,Corn-notill,0.9115250291036089,0.554140127388535,0.6892605633802817,1413
2,Corn-mintill,0.2821742605915268,0.4331288343558282,0.34172313649564373,815
3,Corn,0.75,1.0,0.8571428571428571,222
4,Grass-pasture,0.603202846975089,0.7243589743589743,0.658252427184466,468
5,Grass-trees,0.7327677624602333,0.9664335664335665,0.8335343787696019,715
6,Grass-pasture-mowed,0.4222222222222222,1.0,0.59375,19
7,Hay-windrowed,0.9978354978354979,0.9956803455723542,0.9967567567567568,463
8,Oats,0.1276595744680851,1.0,0.22641509433962265,12
9,Soybean-notill,0.715625,0.7178683385579937,0.7167449139280125,957
10,Soybean-mintill,0.9439822518025514,0.6975409836065574,0.8022625500824888,2440
11,Soybean-clean,0.747093023255814,0.444636678200692,0.5574837310195228,578
12,Wheat,0.2722063037249284,1.0,0.42792792792792794,190
13,Woods,0.9791208791208791,0.7128,0.825,1250
14,Buildings-Grass-Trees-Drives,0.8714285714285714,0.9865229110512129,0.9254108723135271,371
15,Stone-Steel-Towers,0.26262626262626265,1.0,0.416,78
