class_id,class_name,precision,recall,f1,support
0,Alfalfa,0.015517241379310345,1.0,0.030560271646859084,36
1,Corn-notill,0.037296037296037296,0.011291460832745237,0.01733477789815818,1417
2,Corn-mintill,0.0,0.0,0.0,819
3,Corn,0.0,0.0,0.0,226
4,Grass-pasture,0.0,0.0,0.0,472
5,Grass-trees,0.0,0.0,0.0,719
6,Grass-pasture-mowed,0.0,0.0,0.0,22
7,Hay-windrowed,0.052478134110787174,0.03854389721627409,0.044444444444444446,467
8,Oats,0.005066250974279034,0.8125,0.010069713400464756,16
9,Soybean-notill,0.0,0.0,0.0,961
10,Soybean-mintill,0.5892857142857143,0.13502454991816695,0.2197070572569907,2444
11,Soybean-clean,0.0377906976744186,0.022336769759450172,0.028077753779697623,582
12,Wheat,0.0,0.0,0.0,194
13,Woods,0.19936373276776245,0.14992025518341306,0.17114246700045516,1254
14,Buildings-Grass-Trees-Drives,0.0,0.0,0.0,375
15,Stone-Steel-Towers,0.0,0.0,0.0,82
