0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,630,13,3,1,9,5,32,0,90,207,180,0,0,9,48
0,6,448,74,23,0,0,0,4,18,42,0,174,0,26,0
0,0,0,195,0,0,0,0,0,0,0,27,0,0,0,0
0,0,0,0,315,69,42,0,6,0,0,0,18,0,18,0
0,32,0,4,0,624,0,0,32,0,12,0,0,11,0,0
0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,463,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,10,0,0,0,0,0,0,0
26,71,16,5,0,0,0,1,0,679,39,32,9,11,68,0
0,101,1,6,3,68,0,59,13,29,2066,0,29,0,65,0
0,11,42,2,0,0,0,0,0,3,0,425,0,0,25,70
0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0
0,0,0,16,133,0,0,25,0,4,48,0,1,899,118,6
0,0,0,0,0,0,0,0,0,0,0,1,0,0,370,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,75
