class_id,class_name,precision,recall,f1,support
0,Alfalfa,0.336734693877551,1.0,0.5038167938931297,33
1,Corn-notill,0.9152941176470588,0.5506015569709837,0.687582854617764,1413
2,Corn-mintill,0.2854851643945469,0.4368098159509202,0.3452958292919496,815
3,Corn,0.859375,0.990990990990991,0.9205020920502092,222
4,Grass-pasture,0.6332703213610587,0.7158119658119658,0.6720160481444333,468
5,Grass-trees,0.7549668874172185,0.9566433566433566,0.8439235040098705,715
6,Grass-pasture-mowed,0.3877551020408163,1.0,0.5588235294117647,19
7,Hay-windrowed,1.0,0.9978401727861771,0.9989189189189189,463
8,Oats,0.08695652173913043,1.0,0.16,12
9,Soybean-notill,0.7239199157007377,0.7178683385579937,0.720881427072403,957
10,Soybean-mintill,0.9421221864951769,0.7204918032786886,0.8165350673478867,2440
11,Soybean-clean,0.7272727272727273,0.4844290657439446,0.5815160955347871,578
12,Wheat,0.290519877675841,1.0,0.45023696682464454,190
13,Woods,0.9812775330396476,0.7128,0.8257645968489342,1250
14,Buildings-Grass-Trees-Drives,0.883054892601432,0.9973045822102425,0.9367088607594937,371
15,Stone-Steel-Towers,0.2532467532467532,1.0,0.40414507772020725,78
