0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,921,17,24,0,52,0,0,0,220,11,40,0,16,32,6
0,0,547,72,4,0,0,0,34,85,2,2,64,0,0,0
0,0,0,217,0,0,0,0,0,0,0,0,0,0,0,0
0,0,4,0,302,49,56,0,0,14,0,0,38,0,0,0
0,0,0,6,0,646,0,0,14,0,8,0,0,36,0,0
0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,458,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
23,89,0,0,0,0,0,0,0,800,5,3,0,19,13,0
0,193,147,0,0,85,1,43,0,78,1669,52,68,28,71,0
0,3,110,32,0,0,0,0,10,4,0,384,0,0,3,27
0,0,0,0,0,0,0,0,0,0,0,0,185,0,0,0
0,0,0,0,0,0,0,2,0,0,0,0,0,1210,33,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,365,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73
