0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
319,35,0,2,16,4,0,3,29,31,580,150,244,0,0,0
3,0,107,0,16,0,2,0,133,1,243,208,0,102,0,0
0,0,0,20,36,7,0,5,101,2,37,12,0,0,2,0
0,0,0,9,307,0,52,2,15,0,0,18,0,65,0,0
52,96,15,0,1,1,5,0,10,0,5,518,0,0,2,10
0,1,0,4,0,0,14,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,438,0,0,0,0,0,0,25,0
0,0,0,0,0,0,0,0,9,0,0,3,0,0,0,0
797,1,0,0,0,12,1,9,1,31,42,60,3,0,0,0
158,30,16,0,0,0,1,89,226,14,1552,212,1,141,0,0
0,2,0,0,0,0,2,29,115,0,131,264,7,0,0,28
0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0
0,0,0,0,0,0,0,81,396,32,0,0,0,2,78,661
0,0,0,11,0,0,0,0,275,0,0,85,0,0,0,0
0,1,0,0,0,0,1,15,0,0,12,3,0,0,0,46
