class_id,class_name,precision,recall,f1,support
0,Alfalfa,0.024229074889867842,1.0,0.047311827956989246,33
1,Corn-notill,0.21084337349397592,0.024769992922859165,0.044331855604813175,1413
2,Corn-mintill,0.7753623188405797,0.1312883435582822,0.22455403987408185,815
3,Corn,0.43478260869565216,0.09009009009009009,0.14925373134328357,222
4,Grass-pasture,0.8164893617021277,0.655982905982906,0.7274881516587678,468
5,Grass-trees,0.041666666666666664,0.0013986013986013986,0.0027063599458728013,715
6,Grass-pasture-mowed,0.1794871794871795,0.7368421052631579,0.28865979381443296,19
7,Hay-windrowed,0.6527570789865872,0.9460043196544277,0.7724867724867724,463
8,Oats,0.006870229007633588,0.75,0.01361573373676248,12
9,Soybean-notill,0.27927927927927926,0.03239289446185998,0.05805243445692884,957
10,Soybean-mintill,0.5964642582628747,0.6360655737704918,0.6156287187623959,2440
11,Soybean-clean,0.17221135029354206,0.45674740484429066,0.2501184272856466,578
12,Wheat,0.0,0.0,0.0,190
13,Woods,0.004,0.0016,0.002285714285714286,1250
14,Buildings-Grass-Trees-Drives,0.0,0.0,0.0,371
15,Stone-Steel-Towers,0.06174496644295302,0.5897435897435898,0.1117861482381531,78
