class_id,class_name,precision,recall,f1,support
0,Brocoli_green_weeds_1,0.9984939759036144,1.0,0.9992464204973625,1989
1,Brocoli_green_weeds_2,1.0,1.0,1.0,3706
2,Fallow,0.9834087481146304,1.0,0.9916349809885932,1956
3,Fallow_rough_plow,0.8630653266331658,1.0,0.9265003371544167,1374
4,Fallow_smooth,0.9992076069730587,0.9488337095560572,0.9733693554612118,2658
5,Stubble,0.9994925145902055,1.0,0.999746192893401,3939
6,Celery,1.0,1.0,1.0,3559
7,Grapes_untrained,0.613470557582074,0.8370811483423696,0.7080404465661767,11251
8,Soil_vinyard_develop,0.9908653846153846,1.0,0.9954117362955808,6183
9,Corn_senesced_green_weeds,0.9939490445859872,0.9579496623695519,0.9756173804313848,3258
10,Lettuce_romaine_4wk,0.9712696941612604,1.0,0.9854254818993888,1048
11,Lettuce_romaine_5wk,0.9926624737945493,0.9931830099632931,0.9929226736566186,1907
12,Lettuce_romaine_6wk,0.9965635738831615,0.9709821428571429,0.9836065573770492,896
13,Lettuce_romaine_7wk,0.9467028003613369,0.9980952380952381,0.9717199814557256,1050
14,Vinyard_untrained,0.40238252812706815,0.16777041942604856,0.2368062317429406,7248
15,Vinyard_vertical_trellis,1.0,0.9988808058198098,0.9994400895856663,1787
