dataset,shot,seed,epoch,train_loss,train_ce_loss,train_metric_loss,train_accuracy,val_loss,val_OA,val_AA,val_Kappa,val_Macro-F1,val_Weighted-F1
salinas,10,1,1,2.981094408035278,2.9648136854171754,0.08140362277626992,0.15,2.618159461021423,0.2625,0.26249999999999996,0.21333333333333337,0.17267778822055135,0.17267778822055138
salinas,10,1,2,2.378812384605408,2.363227736949921,0.07792341448366642,0.325,2.0873756647109984,0.44375,0.44375000000000003,0.4066666666666666,0.3655319152766975,0.36553191527669754
salinas,10,1,3,1.8691135406494142,1.8541203379631042,0.07496592262759805,0.61875,1.632069742679596,0.68125,0.68125,0.6599999999999999,0.5897214703601952,0.5897214703601952
salinas,10,1,4,1.4374912858009339,1.423024547100067,0.07233364451676608,0.79375,1.2529862880706788,0.8125,0.8125,0.8,0.773722749969553,0.7737227499695529
salinas,10,1,5,1.087113606929779,1.0732913851737975,0.06911107953637838,0.8875,0.9400639653205871,0.9,0.9,0.8933333333333333,0.8757336770780706,0.8757336770780706
salinas,10,1,6,0.808035808801651,0.7947663426399231,0.0663473317399621,0.90625,0.7104577213525772,0.9125,0.9125,0.9066666666666666,0.8896780303030303,0.8896780303030303
salinas,10,1,7,0.6040586471557617,0.5913936555385589,0.06332491058856249,0.925,0.549507075548172,0.925,0.925,0.92,0.9040404040404041,0.904040404040404
salinas,10,1,8,0.4648786157369614,0.45277199149131775,0.06053310874849558,0.95625,0.43619919419288633,0.95,0.95,0.9466666666666667,0.9461649461649462,0.9461649461649462
salinas,10,1,9,0.36737429797649385,0.3559142202138901,0.057300404831767085,0.975,0.35947221964597703,0.95625,0.95625,0.9533333333333334,0.9525255446308079,0.9525255446308079
salinas,10,1,10,0.29964389353990556,0.2888446316123009,0.053996321931481364,0.9875,0.3046323537826538,0.96875,0.96875,0.9666666666666667,0.9685767448925344,0.9685767448925343
salinas,10,1,11,0.2529372006654739,0.2427328869700432,0.05102155539207161,0.9875,0.26698929965496065,0.96875,0.96875,0.9666666666666667,0.968192151695988,0.968192151695988
salinas,10,1,12,0.21610012650489807,0.20662553012371063,0.04737298022955656,0.99375,0.2365131564438343,0.9875,0.9875,0.9866666666666667,0.987468671679198,0.987468671679198
salinas,10,1,13,0.18855320885777474,0.17971543744206428,0.04418885367922485,0.99375,0.21290170028805733,0.98125,0.98125,0.98,0.9811080732133364,0.9811080732133363
salinas,10,1,14,0.1677926629781723,0.15951212272047996,0.041402695886790755,0.99375,0.1941622167825699,0.98125,0.98125,0.98,0.9811080732133364,0.9811080732133363
salinas,10,1,15,0.15077034160494804,0.14306779354810714,0.03851274102926254,0.99375,0.17977444529533387,0.98125,0.98125,0.98,0.9811080732133364,0.9811080732133363
salinas,10,1,16,0.13939784690737725,0.13223646134138106,0.03580693081021309,0.9875,0.16542453318834305,0.99375,0.99375,0.9933333333333333,0.993734335839599,0.9937343358395989
salinas,10,1,17,0.12387467697262763,0.11710668280720711,0.033839967008680104,1.0,0.15550378039479257,0.98125,0.98125,0.98,0.9811080732133364,0.9811080732133363
salinas,10,1,18,0.11607822254300118,0.10967285037040711,0.032026851270347836,0.9875,0.1481476802378893,0.975,0.9750000000000001,0.9733333333333334,0.9745527501618496,0.9745527501618497
salinas,10,1,19,0.10355195254087449,0.09748610854148865,0.030329217948019505,0.99375,0.13564609102904795,0.99375,0.99375,0.9933333333333333,0.993734335839599,0.9937343358395989
salinas,10,1,20,0.09732477217912675,0.0914200272411108,0.029523722641170026,1.0,0.12869627252221108,0.99375,0.99375,0.9933333333333333,0.993734335839599,0.9937343358395989
salinas,10,1,21,0.0894046414643526,0.08384681679308414,0.027789125125855206,1.0,0.12293351665139199,0.9875,0.9875,0.9866666666666667,0.987468671679198,0.987468671679198
salinas,10,1,22,0.08403605818748475,0.07868461720645428,0.02675720569677651,0.99375,0.1166869692504406,0.9875,0.9875,0.9866666666666667,0.987468671679198,0.987468671679198
salinas,10,1,23,0.07863271087408066,0.07352242432534695,0.02555143190547824,1.0,0.11061353608965874,0.99375,0.99375,0.9933333333333333,0.993734335839599,0.9937343358395989
salinas,10,1,24,0.07284511476755143,0.06789608597755432,0.024745147535577418,1.0,0.10754719711840152,0.98125,0.98125,0.98,0.9811080732133364,0.9811080732133363
salinas,10,1,25,0.06938978862017393,0.0644475318491459,0.024711284413933755,0.99375,0.10180449150502682,0.98125,0.98125,0.98,0.9811080732133364,0.9811080732133363
salinas,10,1,26,0.06396280117332935,0.05932639129459858,0.02318205460906029,1.0,0.09679759703576565,0.99375,0.99375,0.9933333333333333,0.993734335839599,0.9937343358395989
