class_id,class_name,precision,recall,f1,support
0,Brocoli_green_weeds_1,1.0,0.9994984954864594,0.999749184850765,1994
1,Brocoli_green_weeds_2,0.9997302400863232,0.998652654271086,0.9991911566459962,3711
2,Fallow,0.9760359460808787,0.9969403365629781,0.986377396569122,1961
3,Fallow_rough_plow,0.8523573200992556,0.9963741841914431,0.9187562688064193,1379
4,Fallow_smooth,0.9768160741885626,0.949305294780323,0.9628642163397448,2663
5,Stubble,0.9842735896155766,0.9997464503042597,0.9919496855345912,3944
6,Celery,1.0,0.97334455667789,0.9864922508175743,3564
7,Grapes_untrained,0.8375169253202791,0.7143745557924662,0.7710600757539435,11256
8,Soil_vinyard_develop,0.9870792789918648,1.0,0.9934976318535763,6188
9,Corn_senesced_green_weeds,0.9781121751025992,0.8764940239043825,0.9245191530628738,3263
10,Lettuce_romaine_4wk,0.8716887417218543,1.0,0.9314462627156126,1053
11,Lettuce_romaine_5wk,0.9983844911147012,0.9696652719665272,0.9838153356327939,1912
12,Lettuce_romaine_6wk,0.9985754985754985,0.7780244173140954,0.8746101060511541,901
13,Lettuce_romaine_7wk,0.7357043235704324,1.0,0.8477300120530333,1055
14,Vinyard_untrained,0.6399174595895908,0.7696125741072659,0.698798197295944,7253
15,Vinyard_vertical_trellis,0.9994422755158952,1.0,0.999721059972106,1792
