0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,398,72,0,0,1,0,0,0,201,293,16,12,4,204,105
0,0,479,0,6,0,0,0,73,0,0,160,60,33,4,0
0,0,15,207,0,0,0,0,0,0,0,0,0,0,0,0
0,0,18,0,375,0,57,0,0,0,0,0,18,0,0,0
0,0,0,0,8,550,0,0,77,0,55,0,13,0,12,0
0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,463,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
8,35,160,1,0,0,0,0,0,669,55,2,0,3,15,9
0,6,86,7,34,45,0,65,0,20,1836,0,17,264,60,0
0,52,106,5,0,0,0,0,3,0,0,169,0,0,61,182
0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0
0,0,0,0,1,9,0,11,0,5,0,0,0,1190,34,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,371,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78
