dataset,model,shot,seed,OA,AA,Kappa,Macro-F1,Weighted-F1,best_epoch,train_time_seconds,test_time_seconds,trainable_parameters,train_size,validation_size,test_size
indian_pines,spectral_qnn_gated_supcon,5,0,0.7302474062250599,0.8323811241200705,0.6987081069828313,0.6596729226975901,0.7464563016276304,18,19.50707697868347,18.368857860565186,2176,80,145,10024
indian_pines,spectral_qnn_gated_supcon,5,1,0.7149840383080607,0.8200980687224098,0.6813449624055599,0.6309207618797972,0.7149168954656364,11,14.970765829086304,21.78711485862732,2176,80,145,10024
indian_pines,spectral_qnn_gated_supcon,5,2,0.7022146847565842,0.8167657275191622,0.6650366345540755,0.6188105280733806,0.6982438229697833,31,50.20064902305603,17.4684579372406,2176,80,145,10024
indian_pines,spectral_qnn_gated_supcon,5,3,0.7127893056664006,0.8292449265463113,0.6792434300305753,0.6507672754230125,0.7359476587011572,29,27.2779061794281,18.49069094657898,2176,80,145,10024
indian_pines,spectral_qnn_gated_supcon,5,4,0.7426177174780527,0.8288463645790036,0.7099808175412828,0.6418005021822712,0.7499311646000644,22,22.501433849334717,18.399302005767822,2176,80,145,10024
indian_pines,spectral_qnn_gated_supcon,10,0,0.7792299185684126,0.8682868768988311,0.7526397574241184,0.6916477173003337,0.7903005634768404,10,21.496576070785522,17.48153781890869,2176,160,142,9947
indian_pines,spectral_qnn_gated_supcon,10,1,0.7917965215642907,0.881295498071403,0.7661679840092523,0.7063450942118759,0.796709618522603,20,31.388304948806763,17.147529125213623,2176,160,142,9947
indian_pines,spectral_qnn_gated_supcon,10,2,0.8438725243792098,0.9039820197152244,0.8234861474761146,0.7444772419553803,0.8544749911242434,17,29.430467128753662,18.316531896591187,2176,160,142,9947
indian_pines,spectral_qnn_gated_supcon,10,3,0.8122046848295968,0.9037635613491118,0.7887923183996326,0.7435616300329638,0.8169051039611158,36,50.88252282142639,17.35932683944702,2176,160,142,9947
indian_pines,spectral_qnn_gated_supcon,10,4,0.8264803458329144,0.8951158600197349,0.8037452045036134,0.7271495912542059,0.8311370566815837,8,19.768193006515503,17.95780038833618,2176,160,142,9947
