run_id,architecture,patch_size,pca_components,learning_rate,batch_size,weight_decay,dropout,loss_name,class_weight_mode,embedding_dim,seed,best_val_macro_f1,best_val_oa,best_val_aa,epochs_ran,pca_explained_variance_ratio_sum,training_time_seconds
A000,hybridsn_small,9,30,0.001,32,0.0001,0.4,cross_entropy,none,128,42,0.9129915169157434,0.9795121951219512,0.9073923639664649,30,0.9622784852981567,99.98099684715271
A001,hybridsn_base,9,30,0.001,32,0.0001,0.4,cross_entropy,none,128,42,0.9542588817508433,0.9795121951219512,0.9375727926606906,45,0.9622784852981567,260.82099509239197
A002,hybridsn_small,7,30,0.001,32,0.0001,0.4,cross_entropy,none,128,42,0.9341497845403537,0.968780487804878,0.9150510459780514,45,0.9622784852981567,111.56130003929138
A003,hybridsn_base,7,30,0.001,32,0.0001,0.4,cross_entropy,none,128,42,0.9458362020416058,0.9707317073170731,0.9343914796094097,45,0.9622784852981567,173.95927715301514
A004,hybridsn_small,11,30,0.001,32,0.0001,0.4,cross_entropy,none,128,42,0.9338897021114605,0.9804878048780488,0.9174507762569464,45,0.9622784852981567,189.01075506210327
A005,hybridsn_base,11,30,0.001,32,0.0001,0.4,cross_entropy,none,128,42,0.9887788015735313,0.9892682926829268,0.9904738518156153,45,0.9622784852981567,349.0178689956665
A006,hybridsn_small,9,15,0.001,32,0.0001,0.4,cross_entropy,none,128,42,0.9338523960889906,0.984390243902439,0.9258561484589538,45,0.9076414108276367,77.21263408660889
A007,hybridsn_base,9,15,0.001,32,0.0001,0.4,cross_entropy,none,128,42,0.9040367583062089,0.9795121951219512,0.9020352345633706,45,0.9076414108276367,66.40801286697388
B008,hybridsn_base,11,30,0.001,16,0.0,0.3,cross_entropy,none,128,42,0.964186409092622,0.9892682926829268,0.9606088530193341,38,0.9622784852981567,287.3802616596222
B009,hybridsn_base,11,30,0.001,16,0.0,0.3,weighted_ce,inverse_sqrt,128,42,0.9846376769122,0.9882926829268293,0.9867636574993411,43,0.9622784852981567,333.2031171321869
B010,hybridsn_base,11,30,0.001,16,0.0,0.4,cross_entropy,none,128,42,0.9899919823147587,0.9902439024390244,0.9915086909630254,45,0.9622784852981567,349.6425542831421
B011,hybridsn_base,11,30,0.001,16,0.0,0.4,weighted_ce,inverse_sqrt,128,42,0.9884044246288597,0.9882926829268293,0.9909239267420198,35,0.9622784852981567,270.50852394104004
B012,hybridsn_base,11,30,0.001,16,0.0,0.5,cross_entropy,none,128,42,0.8826870659322261,0.984390243902439,0.8687455019773986,41,0.9622784852981567,318.6416001319885
B013,hybridsn_base,11,30,0.001,16,0.0,0.5,weighted_ce,inverse_sqrt,128,42,0.9918322829209139,0.9912195121951219,0.9916187933358561,45,0.9622784852981567,350.40163397789
B014,hybridsn_base,11,30,0.001,16,0.0001,0.3,cross_entropy,none,128,42,0.9690608440064059,0.9902439024390244,0.9781581954495028,45,0.9622784852981567,345.7357089519501
B015,hybridsn_base,11,30,0.001,16,0.0001,0.3,weighted_ce,inverse_sqrt,128,42,0.9893143800569832,0.9912195121951219,0.9929693363309966,42,0.9622784852981567,322.9880130290985
B016,hybridsn_base,11,30,0.001,16,0.0001,0.4,cross_entropy,none,128,42,0.98815219604506,0.9873170731707317,0.9876220570960089,45,0.9622784852981567,349.9101560115814
C_seed0,hybridsn_base,11,30,0.001,16,0.0,0.5,weighted_ce,inverse_sqrt,128,0,0.9920847897153675,0.9912195121951219,0.9940948518729866,45,0.9622784852981567,345.34511399269104
C_seed1,hybridsn_base,11,30,0.001,16,0.0,0.5,weighted_ce,inverse_sqrt,128,1,0.9882227530679439,0.9892682926829268,0.9928328008302894,41,0.9622784852981567,6810.124216079712
