class_id,class_name,precision,recall,f1,support
0,Alfalfa,1.0,0.918918918918919,0.9577464788732394,37
1,Corn-notill,0.9936880072137061,0.9649737302977233,0.9791203909373611,1142
2,Corn-mintill,0.9924698795180723,0.9924698795180723,0.9924698795180723,664
3,Corn,0.9945652173913043,0.9682539682539683,0.9812332439678284,189
4,Grass-pasture,0.9973614775725593,0.9767441860465116,0.9869451697127938,387
5,Grass-trees,0.9896729776247849,0.9845890410958904,0.9871244635193133,584
6,Grass-pasture-mowed,0.8148148148148148,1.0,0.8979591836734694,22
7,Hay-windrowed,1.0,1.0,1.0,382
8,Oats,0.8333333333333334,0.9375,0.8823529411764706,16
9,Soybean-notill,0.975609756097561,0.9768637532133676,0.9762363519588954,778
10,Soybean-mintill,0.9829145728643216,0.9954198473282443,0.9891276864728192,1965
11,Soybean-clean,0.9647302904564315,0.9789473684210527,0.9717868338557993,475
12,Wheat,0.9937106918238994,0.9634146341463414,0.978328173374613,164
13,Woods,0.9921568627450981,1.0,0.9960629921259843,1012
14,Buildings-Grass-Trees-Drives,0.9655172413793104,1.0,0.9824561403508771,308
15,Stone-Steel-Towers,1.0,0.9733333333333334,0.9864864864864865,75
