dataset,model,shot,seed,OA,AA,Kappa,Macro-F1,Weighted-F1,best_epoch,train_time_seconds,test_time_seconds,trainable_parameters,train_size,validation_size,test_size,source_result_dir
indian_pines,cnn1d,1,0,0.2197104897878247,0.25974320104379,0.1478016831236749,0.1314458033741292,0.1852139252396546,40,0.8278429508209229,0.3871490955352783,7568.0,16,147,10086,result/other_cnn_baselines_fewshot_3datasets
indian_pines,cnn1d,1,1,0.2691850089232599,0.3541911109243369,0.1960202345689415,0.2681130433872237,0.2809618655139639,100,1.1817469596862793,0.3261187076568603,7568.0,16,147,10086,result/other_cnn_baselines_fewshot_3datasets
indian_pines,cnn1d,1,2,0.2664088836010311,0.2956211964915876,0.1843457607449364,0.1958249804259673,0.236323435976496,30,0.5597589015960693,0.3316137790679931,7568.0,16,147,10086,result/other_cnn_baselines_fewshot_3datasets
indian_pines,cnn1d,1,3,0.1961134245488796,0.3043745923334234,0.1312359617263284,0.1982992131328097,0.1763065017586161,58,0.9008541107177734,0.3189401626586914,7568.0,16,147,10086,result/other_cnn_baselines_fewshot_3datasets
indian_pines,cnn1d,1,4,0.1976006345429308,0.3076988261903595,0.1228085661669149,0.2011187590191935,0.1874618332722141,99,1.171496868133545,0.3273959159851074,7568.0,16,147,10086,result/other_cnn_baselines_fewshot_3datasets
indian_pines,cnn2d,1,0,0.5060479873091414,0.5966420130809498,0.4424813227985796,0.4519604006025814,0.5158148961259826,47,3.4555020332336426,2.090034008026123,28208.0,16,147,10086,result/other_cnn_baselines_fewshot_3datasets
indian_pines,cnn2d,1,1,0.3741820345032718,0.5325242788794676,0.3191364373198962,0.3342811577157385,0.4028084220764817,57,3.2746119499206543,1.8673291206359863,28208.0,16,147,10086,result/other_cnn_baselines_fewshot_3datasets
indian_pines,cnn2d,1,2,0.2942692841562562,0.5217195094570141,0.2361869516674756,0.2968220675940879,0.3045213448114626,31,2.202181816101074,1.8547840118408203,28208.0,16,147,10086,result/other_cnn_baselines_fewshot_3datasets
indian_pines,cnn2d,1,3,0.3920285544318858,0.5914255577134339,0.3409950107829979,0.4069468199478819,0.3715777514811679,28,2.0527498722076416,1.9186069965362549,28208.0,16,147,10086,result/other_cnn_baselines_fewshot_3datasets
indian_pines,cnn2d,1,4,0.3357128693238151,0.5328713604021535,0.2845960279465336,0.3209336354604652,0.3044286562883254,19,1.6856238842010498,1.9165711402893064,28208.0,16,147,10086,result/other_cnn_baselines_fewshot_3datasets
indian_pines,cnn3d,1,0,0.2949633154868134,0.3037056439016788,0.2249450740831499,0.2202890172237394,0.2400895005331344,78,22.79224395751953,9.94468092918396,4016.0,16,147,10086,result/other_cnn_baselines_fewshot_3datasets
indian_pines,cnn3d,1,1,0.1031132262542137,0.0791663710026221,0.0122326746071053,0.0212676460677196,0.0313332201128166,2,4.3104729652404785,9.719043970108032,4016.0,16,147,10086,result/other_cnn_baselines_fewshot_3datasets
indian_pines,cnn3d,1,2,0.2534205829863176,0.0795741993536575,0.0877306517421452,0.0529396970637725,0.1371770301950434,21,8.511076927185059,9.787184238433838,4016.0,16,147,10086,result/other_cnn_baselines_fewshot_3datasets
indian_pines,cnn3d,1,3,0.3660519532024588,0.3119088533629001,0.2900690030171957,0.2292868010620493,0.2808099937983941,43,13.531202793121338,9.360846042633057,4016.0,16,147,10086,result/other_cnn_baselines_fewshot_3datasets
indian_pines,cnn3d,1,4,0.2143565338092405,0.2405631826880502,0.1399254437064557,0.1442693153702497,0.1268856858959496,54,14.767024993896484,9.736942052841188,4016.0,16,147,10086,result/other_cnn_baselines_fewshot_3datasets
indian_pines,knn,1,0,0.2733491969066032,0.3332665581818005,0.2138343712585626,0.2359753789344878,0.2479278177825901,0,0.0005090236663818,0.0772087574005127,,16,147,10086,result/other_traditional_baselines_fewshot_3datasets
indian_pines,knn,1,1,0.2858417608566329,0.4437549427011533,0.215911230084833,0.3259390279106351,0.2979211354465932,0,0.0004658699035644,0.0056970119476318,,16,147,10086,result/other_traditional_baselines_fewshot_3datasets
indian_pines,knn,1,2,0.334225659329764,0.4175049625588414,0.2532142774799791,0.2780539845927567,0.3353017463176031,0,0.0004279613494873,0.0057029724121093,,16,147,10086,result/other_traditional_baselines_fewshot_3datasets
indian_pines,knn,1,3,0.2196113424548879,0.4008157396326568,0.1510612874655723,0.2734898882380797,0.2083741064168982,0,0.0005221366882324,0.0081608295440673,,16,147,10086,result/other_traditional_baselines_fewshot_3datasets
indian_pines,knn,1,4,0.2154471544715447,0.4272736185015769,0.1593791600903074,0.2802043173247743,0.2281136375504589,0,0.0004422664642333,0.0054798126220703,,16,147,10086,result/other_traditional_baselines_fewshot_3datasets
indian_pines,random_forest,1,0,0.1736069799722387,0.20545585074777,0.1127930139428808,0.1288298697255183,0.1371848028090407,0,0.1528787612915039,0.0511894226074218,,16,147,10086,result/other_traditional_baselines_fewshot_3datasets
indian_pines,random_forest,1,1,0.1576442593694229,0.2229228928756334,0.0940116957553224,0.1704778967234561,0.1789965362625253,0,0.2106251716613769,0.0502529144287109,,16,147,10086,result/other_traditional_baselines_fewshot_3datasets
indian_pines,random_forest,1,2,0.127007733491969,0.1962497320472098,0.0623699678745326,0.1247131740300376,0.1370529590304438,0,0.1447279453277588,0.0455400943756103,,16,147,10086,result/other_traditional_baselines_fewshot_3datasets
indian_pines,random_forest,1,3,0.1269085861590323,0.2151394245765512,0.0697909146847861,0.1359849656127345,0.1294897421847037,0,0.1423029899597168,0.0488951206207275,,16,147,10086,result/other_traditional_baselines_fewshot_3datasets
indian_pines,random_forest,1,4,0.1243307555026769,0.2210381114027519,0.0754138039648818,0.1255434610132758,0.1302531445130168,0,0.1446747779846191,0.0453970432281494,,16,147,10086,result/other_traditional_baselines_fewshot_3datasets
indian_pines,svm_rbf,1,0,0.2733491969066032,0.3332665581818005,0.2138343712585626,0.2359753789344878,0.2479278177825901,0,0.0017242431640625,0.0140552520751953,,16,147,10086,result/other_traditional_baselines_fewshot_3datasets
indian_pines,svm_rbf,1,1,0.2858417608566329,0.4437549427011533,0.215911230084833,0.3259390279106351,0.2979211354465932,0,0.0009627342224121,0.0165753364562988,,16,147,10086,result/other_traditional_baselines_fewshot_3datasets
indian_pines,svm_rbf,1,2,0.334225659329764,0.4175049625588414,0.2532142774799791,0.2780539845927567,0.3353017463176031,0,0.0008389949798583,0.0117459297180175,,16,147,10086,result/other_traditional_baselines_fewshot_3datasets
indian_pines,svm_rbf,1,3,0.2196113424548879,0.4008157396326568,0.1510612874655723,0.2734898882380797,0.2083741064168982,0,0.0007891654968261,0.0116417407989501,,16,147,10086,result/other_traditional_baselines_fewshot_3datasets
indian_pines,svm_rbf,1,4,0.2154471544715447,0.4272736185015769,0.1593791600903074,0.2802043173247743,0.2281136375504589,0,0.0007538795471191,0.0114922523498535,,16,147,10086,result/other_traditional_baselines_fewshot_3datasets
indian_pines,cnn1d,5,0,0.3612330407023144,0.3998064782371125,0.2719416523998421,0.2442187508803529,0.3312663624156398,71,1.8978097438812256,0.3203749656677246,7568.0,80,145,10024,result/other_cnn_baselines_fewshot_3datasets
indian_pines,cnn1d,5,1,0.3376895450917797,0.4177884343264511,0.2530325637164811,0.26875890335859,0.326593075154133,60,1.6597740650177002,0.3290700912475586,7568.0,80,145,10024,result/other_cnn_baselines_fewshot_3datasets
indian_pines,cnn1d,5,2,0.3544493216280925,0.3725527360240163,0.2777429100162408,0.2611042998698606,0.3158942029093292,36,1.1468417644500732,0.3227789402008056,7568.0,80,145,10024,result/other_cnn_baselines_fewshot_3datasets
indian_pines,cnn1d,5,3,0.2626695929768555,0.3926699142671984,0.2011986518853692,0.2273928823256787,0.2149939770540983,49,1.4375879764556885,0.3539597988128662,7568.0,80,145,10024,result/other_cnn_baselines_fewshot_3datasets
indian_pines,cnn1d,5,4,0.3053671189146049,0.4098620287158515,0.2236518445660877,0.2877938293584222,0.2992909980528608,90,2.09000015258789,0.3314499855041504,7568.0,80,145,10024,result/other_cnn_baselines_fewshot_3datasets
indian_pines,cnn2d,5,0,0.6837589784517158,0.8009593725457157,0.6473632607487877,0.6384980956026753,0.7001209082184768,65,7.057072877883911,1.953422784805298,28208.0,80,145,10024,result/other_cnn_baselines_fewshot_3datasets
indian_pines,cnn2d,5,1,0.6408619313647247,0.7518842551974991,0.6009001732513777,0.5759340283236457,0.668905282585394,53,5.930100917816162,1.9117698669433592,28208.0,80,145,10024,result/other_cnn_baselines_fewshot_3datasets
indian_pines,cnn2d,5,2,0.5960694333599361,0.7224625240187722,0.5496929438875595,0.5330876150150788,0.6144157642151314,33,4.338917016983032,1.9331650733947752,28208.0,80,145,10024,result/other_cnn_baselines_fewshot_3datasets
indian_pines,cnn2d,5,3,0.6413607342378292,0.7621667432581846,0.5952359884123104,0.580205392462851,0.6421193989219006,64,7.0570831298828125,1.9294888973236084,28208.0,80,145,10024,result/other_cnn_baselines_fewshot_3datasets
indian_pines,cnn2d,5,4,0.6426576217079011,0.7745124972867753,0.6002018789682206,0.6096818832648829,0.6570395015605821,92,8.494161128997803,1.9212679862976072,28208.0,80,145,10024,result/other_cnn_baselines_fewshot_3datasets
indian_pines,cnn3d,5,0,0.416999201915403,0.2552199500039678,0.3337640381774966,0.2102255658994904,0.3696192070018174,44,28.799984216690063,10.146999835968018,4016.0,80,145,10024,result/other_cnn_baselines_fewshot_3datasets
