0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
22,697,134,132,9,15,0,0,1,260,82,40,0,0,8,8
0,27,598,14,0,4,0,0,30,10,24,0,103,0,0,0
0,0,0,185,0,0,0,0,0,0,0,32,0,0,0,0
0,0,18,0,396,0,34,0,1,0,0,0,14,0,0,0
0,3,0,0,20,598,0,0,6,0,4,22,0,57,0,0
0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,454,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
7,2,84,0,8,34,0,0,8,692,88,12,0,0,17,0
10,136,440,0,5,119,0,18,8,213,1388,52,28,0,18,0
0,79,126,4,0,0,0,0,0,0,0,217,0,0,37,110
0,0,0,0,0,0,0,0,0,0,0,0,185,0,0,0
0,0,38,0,1,0,0,0,10,1,0,0,0,997,198,0
0,17,2,0,0,0,0,0,0,0,0,1,0,0,346,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73
