0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1995,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3028,652,0,0,0,0,30,1,0,1,0,0,0,0,0,3
0,0,158,4,729,0,0,0,654,0,1,419,0,0,0,0
0,0,0,1381,2,0,0,0,0,0,0,0,0,0,0,0
0,0,17,291,2340,0,0,0,2,12,3,1,0,0,1,0
2,0,1,0,0,3900,0,0,0,34,1,10,0,0,0,0
0,0,0,0,0,0,3555,0,0,1,0,0,0,0,10,2
0,0,0,4,2,0,274,2738,4,476,72,8,2,16,6313,1351
0,0,0,0,0,0,0,0,5212,0,206,774,0,0,0,0
0,0,0,4,16,0,14,66,742,840,1211,287,1,40,41,5
0,0,0,0,0,0,0,0,193,3,833,28,0,0,0,0
0,0,4,0,76,0,0,0,695,4,0,1137,0,0,0,0
0,0,3,0,186,0,0,0,0,445,0,0,243,28,0,0
0,0,0,0,7,0,15,15,0,43,7,4,11,948,9,0
0,0,0,14,5,0,96,1669,5,134,0,0,0,0,4686,648
0,0,0,10,1,0,476,15,1,8,0,0,0,3,13,1269
