class_id,class_name,precision,recall,f1,support
0,Alfalfa,0.0661764705882353,0.5454545454545454,0.1180327868852459,33
1,Corn-notill,0.18434343434343434,0.051663128096249115,0.08070757324488667,1413
2,Corn-mintill,0.18604651162790697,0.24539877300613497,0.21164021164021163,815
3,Corn,0.21920668058455114,0.47297297297297297,0.2995720399429387,222
4,Grass-pasture,0.27995642701525053,0.5491452991452992,0.3708513708513709,468
5,Grass-trees,0.4732824427480916,0.08671328671328671,0.14657210401891252,715
6,Grass-pasture-mowed,0.07804878048780488,0.8421052631578947,0.14285714285714285,19
7,Hay-windrowed,0.7047619047619048,0.31965442764578833,0.4398216939078752,463
8,Oats,0.03076923076923077,0.16666666666666666,0.05194805194805195,12
9,Soybean-notill,0.24180327868852458,0.4315569487983281,0.3099437148217636,957
10,Soybean-mintill,0.40439158279963405,0.3622950819672131,0.382187635105923,2440
11,Soybean-clean,0.12727272727272726,0.12110726643598616,0.12411347517730496,578
12,Wheat,0.26068965517241377,0.9947368421052631,0.4131147540983607,190
13,Woods,0.750373692077728,0.4016,0.5231891610213653,1250
14,Buildings-Grass-Trees-Drives,0.1634349030470914,0.15902964959568733,0.16120218579234974,371
15,Stone-Steel-Towers,0.8513513513513513,0.8076923076923077,0.8289473684210527,78
