dataset,model,shot,runs,mean_OA,std_OA,mean_AA,std_AA,mean_Kappa,std_Kappa,mean_Macro-F1,std_Macro-F1,mean_Weighted-F1,std_Weighted-F1,mean_best_epoch,trainable_parameters
indian_pines,cnn1d,1,5,0.2298036882807853,0.03213960776414533,0.3043257853966995,0.030203665909559065,0.15644244126615928,0.02893532037808759,0.1989603598678647,0.04325560167798113,0.21325351235218895,0.03983253246008443,65.4,7568
indian_pines,cnn2d,1,5,0.3804481459448741,0.07124146455204033,0.5550365439066037,0.03213502018671917,0.3246791501030966,0.0687194393636716,0.362188816264151,0.057992853747474045,0.37983021415668405,0.07803173154651714,36.4,28208
indian_pines,cnn1d,5,5,0.32428172386272947,0.03635676111499478,0.39853591831412594,0.015556929244259285,0.24551352451680422,0.02910483179874999,0.25785373315858096,0.020686587232713417,0.29760772311721223,0.04274415615824702,61.2,7568
indian_pines,cnn2d,5,5,0.6409417398244214,0.02774875127805258,0.7623970784613894,0.0258425039196072,0.5986788490536512,0.030948014597872487,0.5874814029338268,0.03532854542918146,0.6565201711002969,0.02840721136035544,61.4,28208
indian_pines,cnn1d,10,5,0.365798733286418,0.052139296148985596,0.4707700978921947,0.030559194487677646,0.292318122197231,0.04619784704044191,0.330431432906544,0.037604454058464715,0.3590821167082704,0.06451641985975086,66.8,7568
indian_pines,cnn2d,10,5,0.7389363627224288,0.034414158065672884,0.8335034331789449,0.019249652069399506,0.7061053139543965,0.03810522085845224,0.6711870862110143,0.01901774195996899,0.744918742233366,0.03616620508856253,61.8,28208
pavia_university,cnn1d,1,5,0.41132225789066706,0.09146876732751132,0.5611861209058538,0.06097245448858394,0.32047540841284283,0.0825003282892148,0.44415450111346083,0.07545752279071272,0.3953017779620527,0.12473347490309415,65.2,7113
pavia_university,cnn2d,1,5,0.47005178433348177,0.0817820386232667,0.5250753344602667,0.016284312334253436,0.3783491140771198,0.06594728197006028,0.456607058177657,0.026305497023770046,0.48959206382535275,0.08481860056024246,25.4,27753
pavia_university,cnn1d,5,5,0.5931239886494218,0.052301831018672446,0.7063385754170024,0.0327386232170626,0.4991282554063609,0.054672842187050985,0.607103288876811,0.06507179505966033,0.5967371926243817,0.06073348528284447,89.0,7113
pavia_university,cnn2d,5,5,0.7048099247203397,0.06845161253278034,0.7525908587864569,0.035453679057707445,0.6352183298681906,0.07370192385280012,0.6966661755397634,0.03716670151940383,0.7160382096723327,0.06824472434847205,57.6,27753
pavia_university,cnn1d,10,5,0.6228566062541084,0.04840634613456023,0.7338221772370275,0.009472600274016826,0.5365338885118129,0.0429382785469657,0.6526479750973647,0.02384360984646938,0.6319986626784102,0.04673097834402201,83.4,7113
pavia_university,cnn2d,10,5,0.7868297492722321,0.06057179435684455,0.8374366145082762,0.03249685546989331,0.7325797467941865,0.0708250532820965,0.7785670531876014,0.04137445762205922,0.7957228607316726,0.057968860495025955,62.4,27753
salinas,cnn1d,1,5,0.4990046892665839,0.14885039130625985,0.5308248096714212,0.15347950742835575,0.45973907230165906,0.1439889498866732,0.47887788360546313,0.16295562451498255,0.4737105671771499,0.1533334149240106,76.0,7568
salinas,cnn2d,1,5,0.7422015457898542,0.019450983220529725,0.7773551607657654,0.020466378220929466,0.7125729698144865,0.022831422812414032,0.749118504711345,0.019184725134101185,0.7260358473950903,0.029467023988527095,46.6,28208
salinas,cnn1d,5,5,0.6583013230900555,0.020941150442174393,0.7344856659010274,0.022984835609570545,0.6258544237341372,0.020416821614708442,0.6830194866911025,0.01232233171918428,0.6120296002877881,0.030255776833742823,91.4,7568
salinas,cnn2d,5,5,0.8829519939134146,0.031671470442012406,0.9263614651882147,0.013713832118340196,0.8699660048138653,0.03501687197351244,0.9100476858963816,0.019958128749104513,0.8831879573472611,0.03188008458712074,56.8,28208
salinas,cnn1d,10,5,0.749075433477671,0.011023460031694089,0.8312996496595089,0.009383451131585683,0.7233821216319216,0.011494335992668737,0.8069051513092347,0.010068054989781108,0.7389195329034275,0.01609206434457429,94.8,7568
salinas,cnn2d,10,5,0.9356613205969261,0.008482476273711766,0.9601094601960325,0.003743321659138042,0.9284916427428067,0.009406725257665434,0.9522826992497695,0.006037285269748708,0.9357097231874294,0.0086012624467769,48.2,28208
