0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1429,2267,0,0,0,10,0,0,0,0,0,0,0,0,0,0
0,0,178,0,725,19,0,0,122,0,912,0,0,0,0,0
0,0,0,1366,8,0,0,0,0,0,0,0,0,0,0,0
0,0,0,882,1244,524,0,0,0,0,8,0,0,0,0,0
0,0,0,0,0,3939,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,150,3186,0,0,0,0,0,0,0,0,222
13,0,0,1389,260,16,0,7489,0,23,1,0,0,0,1579,481
0,0,0,0,0,53,0,0,6130,0,0,0,0,0,0,0
0,0,0,0,935,322,0,0,1334,495,172,0,0,0,0,0
0,1,0,0,0,512,0,0,499,0,36,0,0,0,0,0
0,0,0,0,0,1185,0,0,42,0,258,422,0,0,0,0
0,0,0,0,178,83,0,0,0,4,25,10,0,596,0,0
0,0,0,0,21,0,0,0,0,0,14,0,0,1015,0,0
0,0,0,509,15,0,0,1446,0,0,0,0,0,0,5278,0
0,0,0,119,0,1,0,0,0,0,0,0,0,0,0,1667
