dataset,model,shot,seed,epoch,train_loss,train_accuracy,val_loss,val_OA,val_AA,val_Kappa,val_Macro-F1,val_Weighted-F1
salinas,cnn3d,5,1,1,2.77445125579834,0.0625,2.7727742195129395,0.06875,0.06875,0.00666666666666671,0.018760086067778375,0.018760086067778375
salinas,cnn3d,5,1,2,2.7593294620513915,0.05,2.7642416954040527,0.1,0.1,0.040000000000000036,0.05264108848667672,0.05264108848667672
salinas,cnn3d,5,1,3,2.7484223365783693,0.1,2.7560842037200928,0.08125,0.08125,0.020000000000000018,0.040528396836808055,0.040528396836808055
salinas,cnn3d,5,1,4,2.7319259643554688,0.1,2.7460951805114746,0.075,0.075,0.013333333333333308,0.029574592074592072,0.029574592074592076
salinas,cnn3d,5,1,5,2.715994882583618,0.1125,2.735039710998535,0.10625,0.10625,0.046666666666666634,0.0679603494623656,0.0679603494623656
salinas,cnn3d,5,1,6,2.699491500854492,0.125,2.7233383655548096,0.125,0.125,0.06666666666666665,0.04750844594594594,0.04750844594594594
salinas,cnn3d,5,1,7,2.696154260635376,0.125,2.7078487873077393,0.125,0.125,0.06666666666666665,0.041759985069055615,0.041759985069055615
salinas,cnn3d,5,1,8,2.681629943847656,0.125,2.6965720653533936,0.14375,0.14375,0.08666666666666667,0.06793641681701383,0.06793641681701383
salinas,cnn3d,5,1,9,2.677936315536499,0.125,2.682138204574585,0.15,0.15,0.09333333333333338,0.07223066531577169,0.07223066531577169
salinas,cnn3d,5,1,10,2.6716733455657957,0.1625,2.6700122356414795,0.15,0.15,0.09333333333333338,0.07138709142193463,0.07138709142193463
salinas,cnn3d,5,1,11,2.6622032165527343,0.2,2.6583404541015625,0.15625,0.15625,0.09999999999999998,0.07540803515379786,0.07540803515379786
salinas,cnn3d,5,1,12,2.6546303272247314,0.2375,2.651554584503174,0.15,0.15,0.09333333333333338,0.06921742051052396,0.06921742051052396
salinas,cnn3d,5,1,13,2.6518453121185304,0.1875,2.6419880390167236,0.16875,0.16875,0.11333333333333329,0.08199448658519455,0.08199448658519455
salinas,cnn3d,5,1,14,2.6447681427001952,0.1875,2.633584499359131,0.1875,0.1875,0.1333333333333333,0.10295762202999775,0.10295762202999777
salinas,cnn3d,5,1,15,2.639151954650879,0.1875,2.625873565673828,0.20625,0.20625,0.15333333333333332,0.11867971403184571,0.11867971403184571
salinas,cnn3d,5,1,16,2.6312750339508058,0.2,2.622950553894043,0.2,0.2,0.1466666666666666,0.10653757070492478,0.10653757070492478
salinas,cnn3d,5,1,17,2.626359462738037,0.1875,2.6183841228485107,0.2,0.2,0.1466666666666666,0.1025297619047619,0.1025297619047619
salinas,cnn3d,5,1,18,2.621199607849121,0.1875,2.611269474029541,0.2,0.2,0.1466666666666666,0.10386938552096764,0.10386938552096762
salinas,cnn3d,5,1,19,2.6162141799926757,0.1875,2.604753255844116,0.2,0.2,0.1466666666666666,0.10063642891571006,0.10063642891571005
salinas,cnn3d,5,1,20,2.6092633247375487,0.1875,2.59696626663208,0.2,0.2,0.1466666666666666,0.10045105603616242,0.1004510560361624
salinas,cnn3d,5,1,21,2.6066678047180174,0.1875,2.589449644088745,0.2,0.2,0.1466666666666666,0.09858630952380953,0.0985863095238095
salinas,cnn3d,5,1,22,2.6002053737640383,0.1875,2.583320140838623,0.19375,0.19375,0.14,0.09077298797693534,0.09077298797693535
salinas,cnn3d,5,1,23,2.59369158744812,0.1875,2.5820016860961914,0.1875,0.1875,0.1333333333333333,0.08191200277520813,0.08191200277520813
salinas,cnn3d,5,1,24,2.588907337188721,0.1875,2.57631778717041,0.1875,0.1875,0.1333333333333333,0.08262310606060606,0.08262310606060606
salinas,cnn3d,5,1,25,2.5836768627166746,0.1875,2.5693039894104004,0.19375,0.19375,0.14,0.09077006661811698,0.09077006661811697
salinas,cnn3d,5,1,26,2.5759779453277587,0.1875,2.568953275680542,0.1875,0.1875,0.1333333333333333,0.08222870487908082,0.08222870487908082
salinas,cnn3d,5,1,27,2.5725279331207274,0.1875,2.5622847080230713,0.19375,0.19374999999999998,0.14,0.08462939407955597,0.08462939407955597
salinas,cnn3d,5,1,28,2.569999599456787,0.2,2.5543670654296875,0.20625,0.20625,0.15333333333333332,0.09942838632998208,0.09942838632998206
salinas,cnn3d,5,1,29,2.5631265163421633,0.1875,2.548762559890747,0.20625,0.20625,0.15333333333333332,0.09979943064182195,0.09979943064182194
salinas,cnn3d,5,1,30,2.562799310684204,0.1875,2.5454068183898926,0.20625,0.20625,0.15333333333333332,0.10019681259600616,0.10019681259600613
salinas,cnn3d,5,1,31,2.5543132781982423,0.1875,2.539389133453369,0.20625,0.20625,0.15333333333333332,0.09979943064182195,0.09979943064182194
salinas,cnn3d,5,1,32,2.5458618640899657,0.1875,2.531919002532959,0.20625,0.20625,0.15333333333333332,0.09979943064182195,0.09979943064182194
salinas,cnn3d,5,1,33,2.5461164474487306,0.2,2.5260825157165527,0.20625,0.20625,0.15333333333333332,0.0987600798746465,0.09876007987464648
