0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,0,0,4,0,0,0,31,0,0,0,0,0,0,0,0
0,639,0,470,1,0,0,5,4,1,170,97,1,1,0,28
0,372,0,104,0,0,0,0,2,0,123,195,0,1,0,22
0,56,0,95,0,0,0,6,2,0,6,30,9,3,0,19
1,20,0,57,253,0,1,46,15,0,1,10,8,53,0,7
0,40,0,48,44,0,2,10,7,0,1,47,359,153,0,8
0,3,0,14,0,0,0,4,0,0,0,0,0,0,0,1
10,7,0,104,0,0,0,310,0,0,7,5,0,0,0,24
0,0,0,1,0,0,0,1,1,0,0,2,11,0,0,0
0,461,0,40,0,0,0,4,6,0,257,181,0,2,0,10
0,1449,0,141,0,0,0,7,3,1,566,232,14,2,0,29
0,250,0,92,0,0,0,1,1,0,48,161,1,3,0,25
0,0,0,0,0,0,0,0,1,0,0,14,174,0,0,5
0,1,0,3,603,0,0,81,0,0,1,3,141,419,0,2
0,6,0,23,44,0,1,11,1,0,0,26,158,100,0,5
0,3,0,3,0,0,0,0,0,0,0,8,0,0,0,68
