dataset,model,shot,seed,epoch,train_loss,train_accuracy,val_loss,val_OA,val_AA,val_Kappa,val_Macro-F1,val_Weighted-F1
salinas,cnn3d,1,3,1,2.7645184993743896,0.0625,2.772005558013916,0.1875,0.1875,0.1333333333333333,0.06712280385705752,0.06712280385705752
salinas,cnn3d,1,3,2,2.7503514289855957,0.1875,2.765040636062622,0.16875,0.16875,0.11333333333333329,0.06359999773196344,0.06359999773196344
salinas,cnn3d,1,3,3,2.7368268966674805,0.1875,2.7576987743377686,0.15625,0.15625,0.09999999999999998,0.05539345711759505,0.055393457117595045
salinas,cnn3d,1,3,4,2.7243356704711914,0.1875,2.7503128051757812,0.1625,0.1625,0.10666666666666669,0.059374821009221604,0.059374821009221604
salinas,cnn3d,1,3,5,2.713008165359497,0.1875,2.7428817749023438,0.16875,0.16875,0.11333333333333329,0.0630834086118639,0.0630834086118639
salinas,cnn3d,1,3,6,2.703148365020752,0.1875,2.7351508140563965,0.175,0.175,0.12,0.0665831881533101,0.0665831881533101
salinas,cnn3d,1,3,7,2.6946160793304443,0.1875,2.7271437644958496,0.18125,0.18125,0.1266666666666667,0.06987898543777231,0.06987898543777231
salinas,cnn3d,1,3,8,2.6869895458221436,0.1875,2.7186007499694824,0.1875,0.1875,0.1333333333333333,0.07296067386428831,0.07296067386428831
salinas,cnn3d,1,3,9,2.6796875,0.1875,2.7098441123962402,0.1875,0.1875,0.1333333333333333,0.07309344227948879,0.07309344227948879
salinas,cnn3d,1,3,10,2.6730735301971436,0.1875,2.7010457515716553,0.1875,0.1875,0.1333333333333333,0.07222466732252886,0.07222466732252886
salinas,cnn3d,1,3,11,2.6671619415283203,0.1875,2.6923279762268066,0.1875,0.1875,0.1333333333333333,0.07244119732260149,0.0724411973226015
salinas,cnn3d,1,3,12,2.661912679672241,0.1875,2.683666229248047,0.1875,0.1875,0.1333333333333333,0.071734129445823,0.071734129445823
salinas,cnn3d,1,3,13,2.657017230987549,0.1875,2.675234317779541,0.1875,0.1875,0.1333333333333333,0.071734129445823,0.071734129445823
salinas,cnn3d,1,3,14,2.652311086654663,0.1875,2.667224168777466,0.1875,0.1875,0.1333333333333333,0.07022386854535911,0.07022386854535911
salinas,cnn3d,1,3,15,2.6479837894439697,0.1875,2.659628391265869,0.1875,0.1875,0.1333333333333333,0.06950396133339977,0.06950396133339977
salinas,cnn3d,1,3,16,2.643812894821167,0.1875,2.652475357055664,0.1875,0.1875,0.1333333333333333,0.06798245614035087,0.06798245614035088
salinas,cnn3d,1,3,17,2.639737844467163,0.1875,2.6456875801086426,0.1875,0.1875,0.1333333333333333,0.06753060535955273,0.06753060535955273
salinas,cnn3d,1,3,18,2.6356868743896484,0.1875,2.639277935028076,0.1875,0.1875,0.1333333333333333,0.06753060535955273,0.06753060535955273
salinas,cnn3d,1,3,19,2.6316542625427246,0.1875,2.633282423019409,0.1875,0.1875,0.1333333333333333,0.06823699874686717,0.06823699874686717
salinas,cnn3d,1,3,20,2.6276397705078125,0.1875,2.6276943683624268,0.1875,0.1875,0.1333333333333333,0.0692947796934866,0.06929477969348659
salinas,cnn3d,1,3,21,2.6236562728881836,0.1875,2.622390031814575,0.1875,0.1875,0.1333333333333333,0.0706188725490196,0.0706188725490196
salinas,cnn3d,1,3,22,2.619682550430298,0.1875,2.6172757148742676,0.1875,0.1875,0.1333333333333333,0.07139142449080974,0.07139142449080974
salinas,cnn3d,1,3,23,2.615661859512329,0.1875,2.6123785972595215,0.1875,0.1875,0.1333333333333333,0.07206166457811194,0.07206166457811194
salinas,cnn3d,1,3,24,2.611567735671997,0.1875,2.607731819152832,0.1875,0.1875,0.1333333333333333,0.0730117253820034,0.07301172538200339
salinas,cnn3d,1,3,25,2.6073803901672363,0.1875,2.6033177375793457,0.1875,0.1875,0.1333333333333333,0.07285122221635605,0.07285122221635605
salinas,cnn3d,1,3,26,2.6031384468078613,0.1875,2.5991339683532715,0.1875,0.1875,0.1333333333333333,0.07285122221635605,0.07285122221635605
salinas,cnn3d,1,3,27,2.5989396572113037,0.1875,2.595155715942383,0.1875,0.1875,0.1333333333333333,0.07285122221635605,0.07285122221635605
