class_id,class_name,precision,recall,f1,support
0,Alfalfa,0.0,0.0,0.0,33
1,Corn-notill,0.0,0.0,0.0,1413
2,Corn-mintill,0.0,0.0,0.0,815
3,Corn,0.17737430167597765,0.5720720720720721,0.27078891257995735,222
4,Grass-pasture,0.26221264367816094,0.7799145299145299,0.3924731182795699,468
5,Grass-trees,0.41302027748132336,0.5412587412587413,0.4685230024213075,715
6,Grass-pasture-mowed,0.0,0.0,0.0,19
7,Hay-windrowed,0.8813229571984436,0.978401727861771,0.9273285568065507,463
8,Oats,0.0,0.0,0.0,12
9,Soybean-notill,0.7106382978723405,0.17450365726227796,0.2802013422818792,957
10,Soybean-mintill,0.41414141414141414,0.8737704918032787,0.5619399051133368,2440
11,Soybean-clean,0.0,0.0,0.0,578
12,Wheat,0.2929824561403509,0.8789473684210526,0.4394736842105263,190
13,Woods,0.0,0.0,0.0,1250
14,Buildings-Grass-Trees-Drives,0.96,0.2587601078167116,0.40764331210191085,371
15,Stone-Steel-Towers,0.20597014925373133,0.8846153846153846,0.3341404358353511,78
