0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
30,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
0,215,204,221,0,2,4,0,2,193,450,122,0,0,0,0
0,62,154,41,0,0,0,0,1,208,252,97,0,0,0,0
1,15,11,79,0,2,6,0,11,22,37,37,1,0,0,0
13,0,1,0,255,36,78,0,24,3,1,6,0,51,0,0
0,0,0,0,13,386,1,0,151,0,0,12,23,20,109,0
1,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0
203,0,0,0,0,0,167,93,0,0,0,0,0,0,0,0
0,0,0,0,0,6,0,0,5,0,0,0,1,0,0,0
0,47,147,1,0,1,21,0,0,333,306,101,0,0,0,0
0,100,292,21,0,8,27,0,8,495,1299,188,0,0,1,1
0,43,87,32,0,0,2,0,3,89,156,164,0,0,0,2
0,0,0,0,0,3,1,0,6,0,0,0,180,0,0,0
0,0,0,0,526,3,0,0,1,0,0,0,73,610,37,0
4,0,0,0,11,98,5,0,26,0,0,1,80,82,63,1
0,7,0,2,0,0,0,0,0,1,0,0,0,0,0,68
