0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
11,1,4,6,1,1,3,1,1,0,2,4,1,0,0,0
94,43,103,253,12,146,132,59,70,108,125,111,25,103,29,4
23,16,61,133,12,107,50,18,92,38,56,89,13,79,30,2
11,1,16,81,1,17,18,11,12,8,6,18,6,12,7,1
8,3,5,111,124,50,41,0,12,11,27,13,10,47,8,2
13,10,50,28,12,98,78,20,81,36,48,43,48,128,21,5
1,1,2,0,0,2,9,1,0,3,2,0,0,0,1,0
64,5,12,94,8,38,100,25,7,13,31,30,2,10,25,3
1,0,0,2,0,1,1,0,4,2,1,0,0,4,0,0
18,15,81,67,9,132,76,17,72,102,106,113,14,106,25,8
53,53,200,253,61,286,209,39,155,184,337,249,33,273,39,20
24,20,35,83,5,62,49,17,32,46,45,102,14,32,11,5
2,0,4,8,3,29,8,3,13,7,11,24,69,12,1,0
30,6,18,244,295,92,70,23,105,25,69,27,51,180,17,2
12,0,10,30,17,34,42,7,43,25,19,31,35,61,9,0
0,9,1,13,1,10,1,1,1,7,2,4,0,1,5,26
