0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
23,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0
0,557,213,114,3,1,2,0,0,172,217,98,1,0,0,30
0,154,287,41,0,0,0,0,1,126,144,56,0,0,0,1
0,48,31,90,0,2,0,4,10,3,28,0,1,0,0,0
12,0,0,6,340,8,11,8,3,2,5,0,0,63,5,0
0,0,0,12,81,477,0,1,44,0,4,0,22,8,61,0
2,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
185,0,0,0,2,0,46,225,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,6,0,0,0,1,0,0,0
0,140,123,50,0,0,11,1,1,342,205,78,0,0,1,0
0,487,452,66,4,9,12,2,6,461,652,257,0,0,1,26
0,112,90,56,0,0,1,0,2,44,125,141,0,0,2,0
0,0,0,0,0,0,0,0,13,0,0,0,171,0,1,0
0,0,0,0,304,5,0,0,0,0,0,0,2,780,154,0
1,0,0,9,65,72,0,2,16,0,1,0,43,66,91,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,71
