0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1603,390,0,0,0,0,1,0,0,0,0,0,0,0,0,0
215,3421,0,0,0,0,67,4,0,0,0,0,0,0,3,1
0,0,1181,2,30,0,0,0,42,11,260,435,0,0,0,0
0,0,0,1344,35,0,0,0,0,0,0,0,0,0,0,0
0,0,86,29,2541,0,0,0,1,0,4,1,1,0,0,0
0,0,3,0,0,3853,0,0,0,0,18,0,34,36,0,0
0,0,0,0,1,0,3546,7,0,0,0,0,1,0,8,1
0,2,1,0,0,1,41,2623,0,398,49,2,117,38,7955,29
0,0,0,0,0,0,0,0,6039,20,126,0,3,0,0,0
0,1,45,5,8,0,0,15,81,1494,1017,100,399,86,12,0
0,0,4,0,3,0,0,0,90,22,911,23,0,0,0,0
0,0,43,0,0,0,0,0,1,0,27,1841,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,888,13,0,0
0,0,0,0,0,0,0,24,0,8,5,0,69,939,10,0
0,0,15,1,20,0,23,1016,0,167,3,2,22,1,5963,20
0,3,1,14,7,0,170,9,0,0,0,4,5,0,3,1576
