0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1805,176,0,2,0,0,5,0,0,2,0,0,0,2,3,3
369,2708,17,93,62,2,106,34,5,22,14,75,9,17,72,110
9,373,230,308,159,53,121,84,37,36,72,185,26,23,111,138
3,44,12,1010,118,2,17,23,0,46,7,17,10,12,42,20
0,251,174,622,689,92,76,83,4,110,88,137,26,31,131,153
1,88,198,305,190,2482,25,88,9,139,21,23,18,46,181,134
237,812,96,161,70,12,539,118,49,112,87,196,146,249,154,530
4,1292,295,498,725,71,358,2300,74,405,128,514,217,614,2658,1107
31,384,589,175,340,109,237,183,847,71,300,1518,81,207,431,689
21,100,271,378,88,38,87,149,108,604,148,225,151,310,336,253
2,40,88,276,37,10,18,32,34,21,369,41,19,26,29,15
2,96,210,259,67,19,83,139,54,55,88,360,163,102,129,90
2,48,38,103,12,10,55,48,18,12,33,26,218,178,53,51
0,51,26,144,22,1,65,23,10,9,28,14,213,325,74,54
7,664,173,345,438,50,213,1251,44,391,75,408,123,354,2102,619
10,51,19,97,172,19,31,46,22,32,63,19,21,35,87,1072
