0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1953,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,3609,0,0,0,0,0,0,0,0,0,0,0,7,0,27
0,0,1722,2,14,0,0,0,0,200,4,14,0,0,0,0
0,0,0,1351,23,0,0,0,0,0,0,0,0,0,0,0
0,0,138,32,2483,0,0,0,1,1,3,0,0,0,0,0
0,0,0,0,1,3926,0,0,0,5,0,0,0,7,0,0
0,0,0,0,1,0,3540,12,0,0,0,0,0,6,0,0
0,3,0,0,0,5,29,7103,0,268,36,0,5,100,3702,0
0,0,2,0,0,0,0,0,6028,36,110,0,0,7,0,0
0,0,157,2,7,1,0,218,29,2664,87,68,0,13,12,0
0,0,66,0,3,0,0,0,9,17,924,29,0,0,0,0
0,0,25,0,0,0,0,0,0,18,0,1862,2,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,852,44,0,0
0,0,0,0,0,0,0,11,0,9,0,0,10,1017,3,0
0,0,19,0,6,0,14,3311,0,58,0,0,0,4,3835,1
0,3,0,1,3,0,13,110,0,4,0,3,1,0,102,1547
