class_id,class_name,precision,recall,f1,support
0,Alfalfa,0.09427609427609428,0.8484848484848485,0.1696969696969697,33
1,Corn-notill,0.38386308068459657,0.3333333333333333,0.3568181818181818,1413
2,Corn-mintill,0.13376309427880742,0.20368098159509201,0.1614785992217899,815
3,Corn,0.15862068965517243,0.3108108108108108,0.2100456621004566,222
4,Grass-pasture,0.3617886178861789,0.3803418803418803,0.37083333333333335,468
5,Grass-trees,0.6003401360544217,0.4937062937062937,0.5418265541059094,715
6,Grass-pasture-mowed,0.06159420289855073,0.8947368421052632,0.1152542372881356,19
7,Hay-windrowed,0.9270833333333334,0.19222462203023757,0.3184257602862254,463
8,Oats,0.02142857142857143,0.75,0.041666666666666664,12
9,Soybean-notill,0.22102161100196463,0.23510971786833856,0.22784810126582278,957
10,Soybean-mintill,0.5484515484515484,0.45,0.49437190454750113,2440
11,Soybean-clean,0.1675,0.11591695501730104,0.13701431492842536,578
12,Wheat,0.5261627906976745,0.9526315789473684,0.6779026217228464,190
13,Woods,0.7358299595141701,0.5816,0.6496872207327972,1250
14,Buildings-Grass-Trees-Drives,0.2318840579710145,0.0862533692722372,0.12573673870333987,371
15,Stone-Steel-Towers,0.9838709677419355,0.782051282051282,0.8714285714285714,78
