class_id,class_name,precision,recall,f1,support
0,Alfalfa,0.02040816326530612,0.1111111111111111,0.034482758620689655,36
1,Corn-notill,0.1773049645390071,0.0529287226534933,0.08152173913043478,1417
2,Corn-mintill,0.11371237458193979,0.08302808302808302,0.09597741707833451,819
3,Corn,0.0275,0.09734513274336283,0.042884990253411304,226
4,Grass-pasture,0.05025125628140704,0.0423728813559322,0.04597701149425287,472
5,Grass-trees,0.1600831600831601,0.32127955493741306,0.21369102682701202,719
6,Grass-pasture-mowed,0.012684989429175475,0.2727272727272727,0.024242424242424242,22
7,Hay-windrowed,0.22549019607843138,0.14775160599571735,0.17852522639068563,467
8,Oats,0.003703703703703704,0.125,0.007194244604316547,16
9,Soybean-notill,0.14940239043824702,0.07804370447450572,0.10252904989747096,961
10,Soybean-mintill,0.14035087719298245,0.0032733224222585926,0.006397441023590564,2444
11,Soybean-clean,0.10851808634772463,0.15979381443298968,0.1292564280750521,582
12,Wheat,0.10039630118890357,0.3917525773195876,0.1598317560462671,194
13,Woods,0.3991507430997877,0.7496012759170654,0.5209199224161818,1254
14,Buildings-Grass-Trees-Drives,0.05670103092783505,0.029333333333333333,0.03866432337434095,375
15,Stone-Steel-Towers,0.2727272727272727,0.6219512195121951,0.379182156133829,82
