class_id,class_name,precision,recall,f1,support
0,Alfalfa,0.1033210332103321,0.7777777777777778,0.18241042345276873,36
1,Corn-notill,0.3296296296296296,0.12561750176429076,0.18191108840061318,1417
2,Corn-mintill,0.1691699604743083,0.2612942612942613,0.2053742802303263,819
3,Corn,0.14606741573033707,0.4026548672566372,0.2143698468786808,226
4,Grass-pasture,0.32149532710280376,0.3644067796610169,0.3416087388282026,472
5,Grass-trees,0.4166666666666667,0.09040333796940195,0.14857142857142858,719
6,Grass-pasture-mowed,0.034129692832764506,0.9090909090909091,0.06578947368421052,22
7,Hay-windrowed,0.7012987012987013,0.11563169164882227,0.19852941176470587,467
8,Oats,0.01730103806228374,0.625,0.03367003367003367,16
9,Soybean-notill,0.14863102998696218,0.1186264308012487,0.13194444444444445,961
10,Soybean-mintill,0.5320256204963971,0.5437806873977087,0.537838931606637,2444
11,Soybean-clean,0.2541436464088398,0.15807560137457044,0.19491525423728814,582
12,Wheat,0.3836477987421384,0.9432989690721649,0.5454545454545454,194
13,Woods,0.6362854686156492,0.5901116427432217,0.6123293338849813,1254
14,Buildings-Grass-Trees-Drives,0.24647887323943662,0.09333333333333334,0.13539651837524178,375
15,Stone-Steel-Towers,1.0,0.5609756097560976,0.71875,82
