class_id,class_name,precision,recall,f1,support
0,Brocoli_green_weeds_1,0.9716981132075472,0.981444332998997,0.9765469061876247,1994
1,Brocoli_green_weeds_2,0.9885151763740772,0.9741309620048505,0.9812703583061889,3711
2,Fallow,0.8,0.9709331973482916,0.8772172310527528,1961
3,Fallow_rough_plow,0.96243798724309,0.9847715736040609,0.9734767025089606,1379
4,Fallow_smooth,0.9670846394984326,0.9267743146826887,0.9465004793863854,2663
5,Stubble,0.9974625729510277,0.9967038539553753,0.9970830691185796,3944
6,Celery,0.9893825090807488,0.9935465768799102,0.9914601707965841,3564
7,Grapes_untrained,0.6959815546772069,0.3754442075337598,0.48776546629732226,11256
8,Soil_vinyard_develop,0.9923613417469279,0.9657401422107305,0.9788697788697789,6188
9,Corn_senesced_green_weeds,0.9391348088531187,0.5721728470732454,0.7111026471148353,3263
10,Lettuce_romaine_4wk,0.7557840616966581,0.8376068376068376,0.7945945945945946,1053
11,Lettuce_romaine_5wk,0.9034253092293054,0.9932008368200836,0.9461883408071748,1912
12,Lettuce_romaine_6wk,0.5680359435173299,0.9822419533851277,0.719804798698658,901
13,Lettuce_romaine_7wk,0.4599434495758718,0.9251184834123223,0.6144161158325464,1055
14,Vinyard_untrained,0.4557659208261618,0.7301806149179649,0.5612250304668044,7253
15,Vinyard_vertical_trellis,0.9747652582159625,0.9268973214285714,0.950228832951945,1792
