dataset,shot,model,comparison,metric,n,mean_delta,median_delta,std_delta,ci95_low_bootstrap,ci95_high_bootstrap,positive_seeds,negative_seeds,t_stat,paired_t_p_two_sided,paired_t_p_greater,wilcoxon_p_two_sided,wilcoxon_p_greater,wilcoxon_p_less,sign_p_greater,sign_p_less,bootstrap_p_mean_greater,bootstrap_p_mean_less,cohen_dz,significant_positive_0.05,significant_negative_0.05
indian_pines,5,spectral_qnn_gated_supcon,Spectral QNN + SupCon vs HybridSN-small,macro_f1,5,0.0023417772285449835,0.0013076202678303783,0.01369695340052482,-0.008790126725740866,0.013341315127366448,3,2,0.3823020286385003,0.7216816607839089,0.36084083039195447,0.625,0.3125,0.78125,0.5,0.8125,0.34485,0.65515,0.17097066479435163,False,False
indian_pines,5,spectral_qnn_gated_supcon,Spectral QNN + SupCon vs HybridSN-small,oa,5,0.0003790901835594829,-0.0006983240223463749,0.01275344429928076,-0.009377494014365472,0.00959696727853152,2,3,0.06646607772377866,0.950196268224177,0.4750981341120885,1.0,0.59375,0.5,0.8125,0.5,0.44075,0.55925,0.029724533597630713,False,False
indian_pines,5,spectral_qnn_gated_supcon,Spectral QNN + SupCon vs HybridSN-small,weighted_f1,5,-0.003568935072009838,-0.0029399959084482896,0.01246494184285063,-0.013688316603429108,0.004835743980250884,2,3,-0.6402261261150061,0.5568585493438789,0.7215707253280605,1.0,0.59375,0.5,0.8125,0.5,0.7326,0.2674,-0.28631782779290144,False,False
indian_pines,10,spectral_qnn_gated_supcon,Spectral QNN + SupCon vs HybridSN-small,macro_f1,5,0.007304729621097761,0.0030185200818001467,0.0182278384625015,-0.005773831021356113,0.021625551067955807,3,2,0.8960948399687152,0.4208559813637211,0.21042799068186055,0.625,0.3125,0.78125,0.5,0.8125,0.17565,0.82435,0.4007457952913686,False,False
indian_pines,10,spectral_qnn_gated_supcon,Spectral QNN + SupCon vs HybridSN-small,oa,5,0.009490298582487178,0.01276766864381218,0.013564407805681007,-0.0010254348044636652,0.02000603196943802,3,2,1.5644584755350341,0.1927580740498996,0.0963790370249498,0.3125,0.15625,0.90625,0.5,0.8125,0.04315,0.95685,0.6996470998544055,False,False
indian_pines,10,spectral_qnn_gated_supcon,Spectral QNN + SupCon vs HybridSN-small,weighted_f1,5,0.009173679491510933,0.012904718780444746,0.01338111747721697,-0.0009839141011544373,0.01927457441360687,3,2,1.5329789146340025,0.2000536940464227,0.10002684702321135,0.3125,0.15625,0.90625,0.5,0.8125,0.05085,0.94915,0.6855690122390953,False,False
pavia_university,10,spectral_qnn_confguard_gated_supcon,ConfidenceGuard-C + SupCon vs HybridSN-small,macro_f1,5,0.06733369510019319,0.0371635120392398,0.07569472307357591,0.021900515178291124,0.13798290692911044,5,0,1.9890781458296405,0.11757450019208507,0.058787250096042534,0.0625,0.03125,1.0,0.03125,1.0,0.0,1.0,0.8895427893268631,True,False
pavia_university,10,spectral_qnn_confguard_gated_supcon,ConfidenceGuard-C + SupCon vs HybridSN-small,oa,5,0.0350502394591041,0.0164569443140201,0.035538548685737505,0.008014837073903661,0.06219832848154751,5,0,2.2053438014945144,0.09210251161085474,0.04605125580542737,0.0625,0.03125,1.0,0.03125,1.0,0.0,1.0,0.9862597307799073,True,False
pavia_university,10,spectral_qnn_confguard_gated_supcon,ConfidenceGuard-C + SupCon vs HybridSN-small,weighted_f1,5,0.03686277582094292,0.0163001735179724,0.03919939535095636,0.008274681869259958,0.07026285717214277,5,0,2.1027791841425167,0.10332865879214698,0.05166432939607349,0.0625,0.03125,1.0,0.03125,1.0,0.0,1.0,0.9403914394828431,True,False
salinas,10,spectral_qnn_confguard_gated_supcon,ConfidenceGuard-C + SupCon vs HybridSN-small,macro_f1,5,0.0068210282956063266,0.0003404279056018,0.015311994759567273,-0.003011575107890946,0.019543623177474663,3,2,0.9961003242830468,0.3755784609432642,0.1877892304716321,0.4375,0.21875,0.84375,0.5,0.8125,0.1223,0.8777,0.4454696075012955,False,False
salinas,10,spectral_qnn_confguard_gated_supcon,ConfidenceGuard-C + SupCon vs HybridSN-small,oa,5,-0.010039212771097738,-0.0103700124514486,0.028083246862401066,-0.03318775669497662,0.009507703172331721,2,3,-0.7993506700542277,0.46886326245142734,0.7655683687742864,0.625,0.78125,0.3125,0.8125,0.5,0.8131,0.1869,-0.3574804872202517,False,False
salinas,10,spectral_qnn_confguard_gated_supcon,ConfidenceGuard-C + SupCon vs HybridSN-small,weighted_f1,5,-0.009769152765032301,-0.0100579931914547,0.028642921698137005,-0.0334137508355746,0.0113324021249612,2,3,-0.7626487931436501,0.4881675835904798,0.7559162082047601,0.625,0.78125,0.3125,0.8125,0.5,0.79785,0.20215,-0.3410669088854754,False,False
