0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
33,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
0,1123,0,0,0,10,0,0,0,2,4,3,0,0,0,0
0,0,659,1,0,0,0,0,0,0,0,4,0,0,0,0
0,0,0,185,0,0,0,0,0,0,0,4,0,0,0,0
0,0,4,0,381,0,1,0,0,0,0,1,0,0,0,0
0,0,0,0,0,574,0,0,0,0,0,0,0,10,0,0
0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,382,0,0,0,0,0,0,0,0
0,0,1,0,0,6,0,0,9,0,0,0,0,0,0,0
0,5,0,0,0,2,0,0,0,759,4,2,0,3,3,0
0,9,0,0,0,2,0,0,0,4,1949,0,0,1,0,0
0,0,0,0,0,0,0,0,0,2,0,467,0,0,6,0
0,0,0,0,2,0,0,0,2,0,0,0,160,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1012,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,308,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,72
