0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3706,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1956,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1374,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,92,2566,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,3928,10,0,0,0,0,0,0,0,0,0
0,0,0,2,0,0,3551,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,9421,0,0,0,0,0,0,1830,0
0,0,0,0,0,0,0,0,6183,0,0,0,0,0,0,0
0,0,44,0,0,0,0,0,61,3053,48,0,0,52,0,0
0,0,0,0,0,0,0,0,0,0,1048,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1906,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,841,55,0,0
0,0,0,0,0,0,0,0,0,4,0,0,5,1041,0,0
0,0,0,36,0,0,0,724,0,0,0,0,0,0,6488,0
0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1783
