dataset,model,shot,seed,epoch,residual_scale,residual_warmup_factor,train_loss,train_ce_loss,train_supcon_loss,train_gate_confidence_penalty,train_accuracy,val_loss,val_OA,val_AA,val_Kappa,val_Macro-F1,val_Weighted-F1
salinas,spectral_qnn_confguard_gated_supcon,10,3,1,1.0,1.0,2.8461885929107664,2.7191705226898195,0.615269061923027,0.07928442507982254,0.11875,2.3740118861198427,0.26875,0.26875,0.21999999999999997,0.2124031007751938,0.21240310077519378
salinas,spectral_qnn_confguard_gated_supcon,10,3,2,1.0,1.0,2.2154320597648622,2.140445291996002,0.3542635440826416,0.0826804630458355,0.45625,1.8540319919586181,0.6,0.6,0.5733333333333333,0.525401227488514,0.525401227488514
salinas,spectral_qnn_confguard_gated_supcon,10,3,3,1.0,1.0,1.7299426078796387,1.6352679252624511,0.4470563903450966,0.10526799634099007,0.68125,1.3965049147605897,0.75625,0.75625,0.74,0.7238391803209578,0.7238391803209578
salinas,spectral_qnn_confguard_gated_supcon,10,3,4,1.0,1.0,1.3029147863388062,1.2023582637310029,0.4661321349442005,0.1466019108891487,0.875,1.0258898973464965,0.9125,0.9125,0.9066666666666666,0.8952666737376356,0.8952666737376358
salinas,spectral_qnn_confguard_gated_supcon,10,3,5,1.0,1.0,0.96773961186409,0.8679668605327606,0.44927858710289004,0.19834069311618804,0.91875,0.7511761784553528,0.9125,0.9125,0.9066666666666666,0.8981829573934836,0.8981829573934836
salinas,spectral_qnn_confguard_gated_supcon,10,3,6,1.0,1.0,0.7024296820163727,0.6230489313602448,0.33375491872429847,0.252595329284668,0.925,0.5597369104623795,0.90625,0.90625,0.9,0.8948760790866054,0.8948760790866054
salinas,spectral_qnn_confguard_gated_supcon,10,3,7,1.0,1.0,0.5591637969017029,0.4603216081857681,0.4187498137354851,0.3018446147441864,0.93125,0.4321091383695602,0.91875,0.91875,0.9133333333333333,0.9044486215538847,0.9044486215538846
salinas,spectral_qnn_confguard_gated_supcon,10,3,8,1.0,1.0,0.43213841915130613,0.3502314582467079,0.3248551234602928,0.3387188076972961,0.93125,0.35039051026105883,0.9,0.9,0.8933333333333333,0.8913148255253518,0.8913148255253518
salinas,spectral_qnn_confguard_gated_supcon,10,3,9,1.0,1.0,0.3700611174106598,0.2787597641348839,0.36536199152469634,0.36457902789115904,0.95,0.29570943862199783,0.90625,0.90625,0.9,0.9008020050125314,0.9008020050125314
salinas,spectral_qnn_confguard_gated_supcon,10,3,10,1.0,1.0,0.3424812346696854,0.23084422796964646,0.46257645040750506,0.38243428170681,0.98125,0.2589253380894661,0.95625,0.95625,0.9533333333333334,0.9558555479608111,0.955855547960811
salinas,spectral_qnn_confguard_gated_supcon,10,3,11,1.0,1.0,0.2811777099967003,0.19926395267248154,0.3110505737364292,0.3940728485584259,0.95,0.23278933763504028,0.9125,0.9125,0.9066666666666666,0.9011417432470064,0.9011417432470064
salinas,spectral_qnn_confguard_gated_supcon,10,3,12,1.0,1.0,0.2781928822398186,0.1738528236746788,0.42183598652482035,0.399457111954689,0.975,0.21328018680214883,0.9625,0.9625,0.96,0.9617650263766834,0.9617650263766834
salinas,spectral_qnn_confguard_gated_supcon,10,3,13,1.0,1.0,0.26540912687778473,0.15415314212441444,0.4560341976583004,0.4009828150272369,0.9875,0.19905857667326926,0.925,0.925,0.92,0.9204010025062657,0.9204010025062657
salinas,spectral_qnn_confguard_gated_supcon,10,3,14,1.0,1.0,0.2380490317940712,0.13861581906676293,0.3973066687583923,0.3994374662637711,0.99375,0.18753992393612862,0.9625,0.9625,0.96,0.9617650263766834,0.9617650263766834
salinas,spectral_qnn_confguard_gated_supcon,10,3,15,1.0,1.0,0.23507969826459885,0.1265917867422104,0.44353176802396777,0.39563117921352386,1.0,0.1781259398907423,0.95625,0.95625,0.9533333333333334,0.956234335839599,0.9562343358395988
salinas,spectral_qnn_confguard_gated_supcon,10,3,16,1.0,1.0,0.21651114374399186,0.11558614522218705,0.4071086086332798,0.39006557166576383,1.0,0.1701536551117897,0.9625,0.9625,0.96,0.9624060150375939,0.9624060150375939
salinas,spectral_qnn_confguard_gated_supcon,10,3,17,1.0,1.0,0.22269123718142508,0.10905821099877358,0.47272264286875726,0.3817699521780014,1.0,0.16488822884857654,0.975,0.975,0.9733333333333334,0.9745527501618496,0.9745527501618497
salinas,spectral_qnn_confguard_gated_supcon,10,3,18,1.0,1.0,0.20692941695451736,0.09951052404940128,0.44378678798675536,0.37323070764541627,1.0,0.15956663191318513,0.9625,0.9625,0.96,0.9624060150375939,0.9624060150375939
salinas,spectral_qnn_confguard_gated_supcon,10,3,19,1.0,1.0,0.19624049216508865,0.09247007369995117,0.4279423847794533,0.3636387914419174,0.99375,0.15439673140645027,0.95,0.95,0.9466666666666667,0.9489773025915171,0.948977302591517
salinas,spectral_qnn_confguard_gated_supcon,10,3,20,1.0,1.0,0.19972902834415435,0.08667138293385505,0.4772699013352394,0.3520732194185257,1.0,0.1502782791852951,0.96875,0.96875,0.9666666666666667,0.968734335839599,0.9687343358395989
salinas,spectral_qnn_confguard_gated_supcon,10,3,21,1.0,1.0,0.17264618054032327,0.08111941665410996,0.3727684676647186,0.3394614100456238,1.0,0.14659301452338697,0.96875,0.96875,0.9666666666666667,0.968734335839599,0.9687343358395989
salinas,spectral_qnn_confguard_gated_supcon,10,3,22,1.0,1.0,0.19002159237861632,0.07676569484174252,0.48465777933597565,0.32648671269416807,1.0,0.14382604844868183,0.96875,0.96875,0.9666666666666667,0.968734335839599,0.9687343358395989
salinas,spectral_qnn_confguard_gated_supcon,10,3,23,1.0,1.0,0.17717264741659164,0.07170749343931675,0.44894418194890023,0.3135262727737427,1.0,0.14107725508511065,0.96875,0.96875,0.9666666666666667,0.968734335839599,0.9687343358395989
salinas,spectral_qnn_confguard_gated_supcon,10,3,24,1.0,1.0,0.15531400293111802,0.06871716305613518,0.35808839201927184,0.2995831936597824,1.0,0.13957552295178174,0.96875,0.96875,0.9666666666666667,0.968734335839599,0.9687343358395989
salinas,spectral_qnn_confguard_gated_supcon,10,3,25,1.0,1.0,0.15875133424997329,0.06423325501382351,0.40087235271930693,0.28687218129634856,1.0,0.13832985181361437,0.96875,0.96875,0.9666666666666667,0.968734335839599,0.9687343358395989
salinas,spectral_qnn_confguard_gated_supcon,10,3,26,1.0,1.0,0.16019385382533075,0.061219926737248895,0.42648187205195426,0.27355104088783266,1.0,0.13668434061110019,0.96875,0.96875,0.9666666666666667,0.968734335839599,0.9687343358395989
salinas,spectral_qnn_confguard_gated_supcon,10,3,27,1.0,1.0,0.1432331010699272,0.05785381831228733,0.36221014261245726,0.2587450236082077,1.0,0.1351166756823659,0.96875,0.96875,0.9666666666666667,0.968734335839599,0.9687343358395989
