dataset,model,shot,seed,epoch,residual_scale,residual_warmup_factor,train_loss,train_ce_loss,train_supcon_loss,train_gate_confidence_penalty,train_accuracy,val_loss,val_OA,val_AA,val_Kappa,val_Macro-F1,val_Weighted-F1
salinas,spectral_qnn_confguard_gated_supcon,10,1,1,1.0,1.0,2.7359076261520388,2.614953708648682,0.584104660153389,0.08265832364559174,0.225,2.2802273631095886,0.3625,0.36250000000000004,0.31999999999999995,0.28226574150487194,0.28226574150487194
salinas,spectral_qnn_confguard_gated_supcon,10,1,2,1.0,1.0,2.168966269493103,2.0464375972747804,0.5890203237533569,0.0944916419684887,0.43125,1.7915685176849365,0.525,0.5249999999999999,0.4933333333333333,0.46373182444154304,0.46373182444154304
salinas,spectral_qnn_confguard_gated_supcon,10,1,3,1.0,1.0,1.6796158313751222,1.577803111076355,0.47913077026605605,0.11973112151026725,0.69375,1.376652991771698,0.76875,0.76875,0.7533333333333333,0.703106671730477,0.7031066717304771
salinas,spectral_qnn_confguard_gated_supcon,10,1,4,1.0,1.0,1.2679132342338562,1.1845021963119506,0.37650698572397234,0.16219278424978256,0.80625,1.0334302365779877,0.825,0.825,0.8133333333333334,0.7857433744196245,0.7857433744196245
salinas,spectral_qnn_confguard_gated_supcon,10,1,5,1.0,1.0,0.9799090564250946,0.8781383991241455,0.4554623305797577,0.2135633945465088,0.86875,0.7780906856060028,0.8625,0.8625,0.8533333333333333,0.8288239538239539,0.8288239538239537
salinas,spectral_qnn_confguard_gated_supcon,10,1,6,1.0,1.0,0.7634077966213226,0.6522852301597595,0.4887067243456841,0.26762446016073227,0.925,0.5887027740478515,0.90625,0.90625,0.9,0.8852521929824562,0.8852521929824562
salinas,spectral_qnn_confguard_gated_supcon,10,1,7,1.0,1.0,0.6121364414691925,0.4928727924823761,0.5172048769891262,0.3164536327123642,0.96875,0.4582221835851669,0.95,0.95,0.9466666666666667,0.9438767859820492,0.943876785982049
salinas,spectral_qnn_confguard_gated_supcon,10,1,8,1.0,1.0,0.4820005625486374,0.37608057260513306,0.43949188888072965,0.3604321390390396,0.975,0.37103065848350525,0.9375,0.9375,0.9333333333333333,0.9232014204790975,0.9232014204790975
salinas,spectral_qnn_confguard_gated_supcon,10,1,9,1.0,1.0,0.4119676172733307,0.29935394525527953,0.4642817661166191,0.39514637291431426,0.98125,0.31014021784067153,0.9625,0.9625,0.96,0.9604010025062657,0.9604010025062657
salinas,spectral_qnn_confguard_gated_supcon,10,1,10,1.0,1.0,0.3402121901512146,0.24521419405937195,0.3700865477323532,0.41961375176906585,0.99375,0.2658319339156151,0.99375,0.99375,0.9933333333333333,0.993734335839599,0.9937343358395989
salinas,spectral_qnn_confguard_gated_supcon,10,1,11,1.0,1.0,0.31141670495271684,0.20668217539787292,0.4142864756286144,0.4375446289777756,1.0,0.2326725997030735,0.99375,0.99375,0.9933333333333333,0.993734335839599,0.9937343358395989
salinas,spectral_qnn_confguard_gated_supcon,10,1,12,1.0,1.0,0.2978798747062683,0.1785919651389122,0.4839008182287216,0.4501549154520035,0.9875,0.2073450841009617,0.99375,0.99375,0.9933333333333333,0.993734335839599,0.9937343358395989
salinas,spectral_qnn_confguard_gated_supcon,10,1,13,1.0,1.0,0.2789605066180229,0.15641235709190368,0.49782914519309995,0.45964636504650114,0.99375,0.18903217613697051,0.98125,0.98125,0.98,0.9811080732133364,0.9811080732133363
salinas,spectral_qnn_confguard_gated_supcon,10,1,14,1.0,1.0,0.23946983516216278,0.13886476010084153,0.3866823010146618,0.4653722524642944,1.0,0.173922348767519,0.9875,0.9875,0.9866666666666667,0.987468671679198,0.987468671679198
salinas,spectral_qnn_confguard_gated_supcon,10,1,15,1.0,1.0,0.2149553567171097,0.124688620865345,0.33420941680669786,0.46849697530269624,1.0,0.16068293601274491,0.9875,0.9875,0.9866666666666667,0.987468671679198,0.987468671679198
salinas,spectral_qnn_confguard_gated_supcon,10,1,16,1.0,1.0,0.20132191330194474,0.11328928545117378,0.32264484390616416,0.47007315158843993,1.0,0.14956191256642343,0.99375,0.99375,0.9933333333333333,0.993734335839599,0.9937343358395989
salinas,spectral_qnn_confguard_gated_supcon,10,1,17,1.0,1.0,0.21673419922590256,0.10292024239897728,0.45155040472745894,0.47007747888565066,1.0,0.14065048657357693,0.99375,0.99375,0.9933333333333333,0.993734335839599,0.9937343358395989
salinas,spectral_qnn_confguard_gated_supcon,10,1,18,1.0,1.0,0.2172187775373459,0.09641263782978057,0.4870856299996376,0.46778019666671755,0.99375,0.1318800799548626,0.99375,0.99375,0.9933333333333333,0.993734335839599,0.9937343358395989
salinas,spectral_qnn_confguard_gated_supcon,10,1,19,1.0,1.0,0.1798955276608467,0.08763790279626846,0.3450244478881359,0.46505473256111146,0.99375,0.12528151273727417,0.99375,0.99375,0.9933333333333333,0.993734335839599,0.9937343358395989
salinas,spectral_qnn_confguard_gated_supcon,10,1,20,1.0,1.0,0.17781650573015212,0.08541983924806118,0.34628181606531144,0.46280605494976046,0.9875,0.12447615899145603,0.975,0.9750000000000001,0.9733333333333334,0.9745527501618496,0.9745527501618497
