dataset,shot,seed,model,hybridsn_oa,qnn_oa,delta_oa,hybridsn_macro_f1,qnn_macro_f1,delta_macro_f1,hybridsn_weighted_f1,qnn_weighted_f1,delta_weighted_f1
pavia_university,10,0,spectral_qnn_confguardb_gated_supcon,0.8975490656399662,0.8913982533571227,-0.006150812282843421,0.8622790436612413,0.8500740462863071,-0.01220499737493419,0.8976153601489932,0.8939019169777356,-0.0037134431712576577
pavia_university,10,1,spectral_qnn_confguardb_gated_supcon,0.7473471687482393,0.8157573481078035,0.06841017935956428,0.633134598405753,0.8139396551721236,0.1808050567663706,0.7374703892049113,0.8214167286812649,0.08394633947635366
pavia_university,10,2,spectral_qnn_confguardb_gated_supcon,0.8009907033524275,0.8697765048361349,0.06878580148370739,0.8129194504847996,0.8769182370881367,0.06399878660333702,0.8217979821040112,0.8833183214640147,0.06152033936000345
pavia_university,10,3,spectral_qnn_confguardb_gated_supcon,0.8418865621185088,0.8454549722978684,0.0035684101793596046,0.8359958329237123,0.8594931805955901,0.023497347671877833,0.8434700626365937,0.8476430106304917,0.004172947993898002
pavia_university,10,4,spectral_qnn_confguardb_gated_supcon,0.8253122358906939,0.8368626162080947,0.011550380317400744,0.8155510640620265,0.8424241675971047,0.026873103535078213,0.8398066280229542,0.8511546593686238,0.01134803134566953
salinas,10,0,spectral_qnn_confguardb_gated_supcon,0.911408872121764,0.8492631344198925,-0.062145737701871484,0.9370495458884958,0.9305934914323806,-0.00645605445611519,0.9126156577270474,0.8471904465797223,-0.06542521114732514
salinas,10,1,spectral_qnn_confguardb_gated_supcon,0.956865951792451,0.947666747198424,-0.00919920459402701,0.975173410514579,0.9688839612645062,-0.006289449250072798,0.956984382643538,0.9481000449693687,-0.008884337674169296
salinas,10,2,spectral_qnn_confguardb_gated_supcon,0.9435782118233008,0.9295471017859466,-0.014031110037354244,0.9630614098513072,0.9623649195135133,-0.0006964903377938425,0.9436368037242812,0.9279179167578168,-0.015718886966464396
salinas,10,3,spectral_qnn_confguardb_gated_supcon,0.9430021000204428,0.9443029976398001,0.0013008976193572552,0.9610610207427712,0.9649140960358518,0.0038530752930805434,0.9433312562684516,0.9448701443847027,0.0015388881162511359
salinas,10,4,spectral_qnn_confguardb_gated_supcon,0.9252355553903622,0.9283391254251148,0.0031035700347525896,0.935743628939,0.9577840689363724,0.022040439997372374,0.9242604876238814,0.9291358216582332,0.004875334034351808
