0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3706,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1956,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1339,35,0,0,0,0,0,0,0,0,0,0,0
0,0,2,32,2619,5,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,3939,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,14,3545,0,0,0,0,0,0,0,0,0
0,1,0,22,0,9,0,10150,0,40,0,0,0,0,1029,0
0,0,0,0,0,0,0,0,6183,0,0,0,0,0,0,0
0,0,4,0,0,0,0,0,61,3122,32,0,0,39,0,0
1,0,0,0,0,0,0,0,0,0,1047,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1888,19,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,881,14,0,0
0,0,0,0,0,0,0,0,0,0,0,0,2,1048,0,0
0,0,0,82,0,0,0,2319,0,1,0,0,0,0,4846,0
0,0,0,26,1,0,0,0,0,0,0,0,0,0,0,1760
