dataset,model,shot,seed,epoch,residual_scale,residual_warmup_factor,high_confidence_guard_mode,guard_floor,guard_tau,guard_temperature,train_loss,train_ce_loss,train_supcon_loss,train_gate_confidence_penalty,train_mean_guard,train_accuracy,val_loss,val_OA,val_AA,val_Kappa,val_Macro-F1,val_Weighted-F1
salinas,spectral_qnn_confguard_gated_supcon,10,4,1,1.0,1.0,none,0.05,0.35,0.08,2.6219436168670653,2.507694673538208,0.5333908073604107,0.07570761293172837,1.0,0.3,2.208190643787384,0.475,0.475,0.43999999999999995,0.38329947536705045,0.3832994753670504
salinas,spectral_qnn_confguard_gated_supcon,10,4,2,1.0,1.0,none,0.05,0.35,0.08,2.0840251803398133,1.9854499697685242,0.4466418161988258,0.09246854931116104,1.0,0.5125,1.7561128735542297,0.58125,0.58125,0.5533333333333333,0.5226133822229158,0.5226133822229156
salinas,spectral_qnn_confguard_gated_supcon,10,4,3,1.0,1.0,none,0.05,0.35,0.08,1.6674658894538879,1.5529671430587768,0.5110940992832184,0.12279946580529214,1.0,0.65625,1.3634493708610536,0.75625,0.75625,0.74,0.7195943303137239,0.719594330313724
salinas,spectral_qnn_confguard_gated_supcon,10,4,4,1.0,1.0,none,0.05,0.35,0.08,1.2806568503379823,1.1839432060718535,0.403272894769907,0.16059082746505737,1.0,0.8,1.0391328454017639,0.8375,0.8375,0.8266666666666667,0.7910244908600172,0.7910244908600171
salinas,spectral_qnn_confguard_gated_supcon,10,4,5,1.0,1.0,none,0.05,0.35,0.08,0.9934751868247986,0.8921390473842621,0.4069713443517685,0.19941881895065308,1.0,0.8875,0.7874993830919266,0.9,0.9,0.8933333333333333,0.8855517896885661,0.8855517896885662
salinas,spectral_qnn_confguard_gated_supcon,10,4,6,1.0,1.0,none,0.05,0.35,0.08,0.7822752594947815,0.6640150547027588,0.4736395746469498,0.23532290309667586,1.0,0.95,0.6023498773574829,0.925,0.9249999999999999,0.92,0.9189897578055473,0.9189897578055473
salinas,spectral_qnn_confguard_gated_supcon,10,4,7,1.0,1.0,none,0.05,0.35,0.08,0.6238010227680206,0.504623481631279,0.464284960180521,0.2632054820656776,1.0,0.98125,0.46849789917469026,0.95625,0.95625,0.9533333333333334,0.955431903622693,0.955431903622693
salinas,spectral_qnn_confguard_gated_supcon,10,4,8,1.0,1.0,none,0.05,0.35,0.08,0.5389696806669235,0.38993035852909086,0.6036663144826889,0.28306051194667814,1.0,0.99375,0.3769488885998726,0.9625,0.9624999999999999,0.96,0.9619264875355871,0.9619264875355871
salinas,spectral_qnn_confguard_gated_supcon,10,4,9,1.0,1.0,none,0.05,0.35,0.08,0.43242852091789247,0.31086191833019255,0.46159828901290895,0.2924694538116455,1.0,0.98125,0.31633159071207045,0.95,0.95,0.9466666666666667,0.947774739880003,0.947774739880003
salinas,spectral_qnn_confguard_gated_supcon,10,4,10,1.0,1.0,none,0.05,0.35,0.08,0.3840025156736374,0.25630447566509246,0.4914525792002678,0.2940752893686295,1.0,0.9875,0.27378530353307723,0.9625,0.9624999999999999,0.96,0.9619264875355871,0.9619264875355871
salinas,spectral_qnn_confguard_gated_supcon,10,4,11,1.0,1.0,none,0.05,0.35,0.08,0.3298439711332321,0.21608953922986984,0.4243018627166748,0.28894061148166655,1.0,1.0,0.24180297553539276,0.9625,0.9624999999999999,0.96,0.9619264875355871,0.9619264875355871
salinas,spectral_qnn_confguard_gated_supcon,10,4,12,1.0,1.0,none,0.05,0.35,0.08,0.3118471741676331,0.18611989617347718,0.4893589042127132,0.27855496406555175,1.0,1.0,0.2171486385166645,0.9625,0.9624999999999999,0.96,0.9619264875355871,0.9619264875355871
salinas,spectral_qnn_confguard_gated_supcon,10,4,13,1.0,1.0,none,0.05,0.35,0.08,0.2866754963994026,0.16388219147920607,0.481463822722435,0.26500535309314727,1.0,1.0,0.2007955938577652,0.95625,0.95625,0.9533333333333334,0.9550664065466697,0.9550664065466696
salinas,spectral_qnn_confguard_gated_supcon,10,4,14,1.0,1.0,none,0.05,0.35,0.08,0.26872621923685075,0.1466974973678589,0.4857463166117668,0.24879456907510758,1.0,1.0,0.18663929738104343,0.9625,0.9624999999999999,0.96,0.9619264875355871,0.9619264875355871
salinas,spectral_qnn_confguard_gated_supcon,10,4,15,1.0,1.0,none,0.05,0.35,0.08,0.27235008031129837,0.13265506476163863,0.5828279882669449,0.2312941461801529,1.0,1.0,0.1769696831703186,0.9625,0.9624999999999999,0.96,0.9619264875355871,0.9619264875355871
salinas,spectral_qnn_confguard_gated_supcon,10,4,16,1.0,1.0,none,0.05,0.35,0.08,0.22244424149394035,0.12101862579584122,0.40096655711531637,0.21232303529977797,1.0,1.0,0.16550449654459953,0.96875,0.96875,0.9666666666666667,0.9684818105870738,0.9684818105870736
salinas,spectral_qnn_confguard_gated_supcon,10,4,17,1.0,1.0,none,0.05,0.35,0.08,0.2390409991145134,0.1102924183011055,0.5469226524233818,0.19364050179719924,1.0,0.99375,0.15988851748406888,0.9625,0.9624999999999999,0.96,0.9619264875355871,0.9619264875355871
