dataset,model,shot,seed,epoch,residual_scale,residual_warmup_factor,high_confidence_guard_mode,guard_floor,guard_tau,guard_temperature,train_loss,train_ce_loss,train_supcon_loss,train_gate_confidence_penalty,train_mean_guard,train_accuracy,val_loss,val_OA,val_AA,val_Kappa,val_Macro-F1,val_Weighted-F1
salinas,spectral_qnn_confguard_gated_supcon,10,3,1,1.0,1.0,none,0.05,0.35,0.08,2.858094048500061,2.7192540407180785,0.6152720630168915,0.07892821133136749,1.0,0.11875,2.374308967590332,0.26875,0.26875,0.21999999999999997,0.2124031007751938,0.21240310077519378
salinas,spectral_qnn_confguard_gated_supcon,10,3,2,1.0,1.0,none,0.05,0.35,0.08,2.2281805276870728,2.1410274863243104,0.3542740762233734,0.08149088770151139,1.0,0.45625,1.8547986030578614,0.6,0.6,0.5733333333333333,0.525401227488514,0.525401227488514
salinas,spectral_qnn_confguard_gated_supcon,10,3,3,1.0,1.0,none,0.05,0.35,0.08,1.7462467312812806,1.6362738728523254,0.44707430303096773,0.10279003158211708,1.0,0.68125,1.3976250886917114,0.75625,0.75625,0.74,0.7238391803209578,0.7238391803209578
salinas,spectral_qnn_confguard_gated_supcon,10,3,4,1.0,1.0,none,0.05,0.35,0.08,1.3252336144447328,1.20370756983757,0.4661914750933647,0.14143877401947974,1.0,0.875,1.0272117376327514,0.9125,0.9125,0.9066666666666666,0.8952666737376356,0.8952666737376358
salinas,spectral_qnn_confguard_gated_supcon,10,3,5,1.0,1.0,none,0.05,0.35,0.08,0.9969112515449524,0.8694041550159455,0.4493303164839745,0.1882052406668663,1.0,0.91875,0.7526020109653473,0.9125,0.9125,0.9066666666666666,0.8981829573934836,0.8981829573934836
salinas,spectral_qnn_confguard_gated_supcon,10,3,6,1.0,1.0,none,0.05,0.35,0.08,0.7380201101303101,0.6245223253965377,0.3338864490389824,0.23360245525836945,1.0,0.925,0.561320424079895,0.90625,0.90625,0.9,0.8948760790866054,0.8948760790866054
salinas,spectral_qnn_confguard_gated_supcon,10,3,7,1.0,1.0,none,0.05,0.35,0.08,0.5996321201324463,0.4620533615350723,0.41886841505765915,0.26902543753385544,1.0,0.93125,0.4339429497718811,0.91875,0.91875,0.9133333333333333,0.9044486215538847,0.9044486215538846
salinas,spectral_qnn_confguard_gated_supcon,10,3,8,1.0,1.0,none,0.05,0.35,0.08,0.4747623801231384,0.35239491164684295,0.32507781982421874,0.2867595463991165,1.0,0.93125,0.3525659769773483,0.9,0.9,0.8933333333333333,0.8913148255253518,0.8913148255253518
salinas,spectral_qnn_confguard_gated_supcon,10,3,9,1.0,1.0,none,0.05,0.35,0.08,0.41234557032585145,0.281416255235672,0.3655049651861191,0.2891415685415268,1.0,0.95,0.2984039679169655,0.90625,0.90625,0.9,0.9008020050125314,0.9008020050125314
salinas,spectral_qnn_confguard_gated_supcon,10,3,10,1.0,1.0,none,0.05,0.35,0.08,0.3825550764799118,0.23403681963682174,0.46279045939445496,0.27980081737041473,1.0,0.98125,0.2621550977230072,0.95625,0.95625,0.9533333333333334,0.9558555479608111,0.955855547960811
salinas,spectral_qnn_confguard_gated_supcon,10,3,11,1.0,1.0,none,0.05,0.35,0.08,0.3174345940351486,0.20302872657775878,0.31107692793011665,0.26095240414142606,1.0,0.95,0.2366515390574932,0.9125,0.9125,0.9066666666666666,0.9011417432470064,0.9011417432470064
salinas,spectral_qnn_confguard_gated_supcon,10,3,12,1.0,1.0,none,0.05,0.35,0.08,0.3094875931739807,0.1783391334116459,0.42202928140759466,0.23371300399303435,1.0,0.98125,0.2179936408996582,0.9625,0.9625,0.96,0.9617650263766834,0.9617650263766834
salinas,spectral_qnn_confguard_gated_supcon,10,3,13,1.0,1.0,none,0.05,0.35,0.08,0.2915617898106575,0.1595115542411804,0.4562754601240158,0.20397570133209228,1.0,0.98125,0.20485296919941903,0.925,0.925,0.92,0.9204010025062657,0.9204010025062657
salinas,spectral_qnn_confguard_gated_supcon,10,3,14,1.0,1.0,none,0.05,0.35,0.08,0.259015154838562,0.14483200162649154,0.3974240556359291,0.17349169552326202,1.0,0.99375,0.1944550909101963,0.9625,0.9625,0.96,0.9617650263766834,0.9617650263766834
salinas,spectral_qnn_confguard_gated_supcon,10,3,15,1.0,1.0,none,0.05,0.35,0.08,0.2508291333913803,0.1334201291203499,0.4441279970109463,0.1429170161485672,1.0,1.0,0.18616753071546555,0.95,0.95,0.9466666666666667,0.949874686716792,0.949874686716792
salinas,spectral_qnn_confguard_gated_supcon,10,3,16,1.0,1.0,none,0.05,0.35,0.08,0.2274623066186905,0.12313811331987382,0.40725825130939486,0.11436270475387574,1.0,1.0,0.17903634607791902,0.96875,0.96875,0.9666666666666667,0.9684818105870737,0.9684818105870736
salinas,spectral_qnn_confguard_gated_supcon,10,3,17,1.0,1.0,none,0.05,0.35,0.08,0.22953162863850593,0.11693777963519096,0.4723886206746101,0.09058060571551323,1.0,1.0,0.17430987283587457,0.975,0.975,0.9733333333333334,0.9745527501618496,0.9745527501618497
salinas,spectral_qnn_confguard_gated_supcon,10,3,18,1.0,1.0,none,0.05,0.35,0.08,0.21107115000486373,0.10745409429073334,0.4439924359321594,0.07409281581640244,1.0,1.0,0.16857849955558776,0.95625,0.95625,0.9533333333333334,0.9558555479608111,0.955855547960811
