dataset,model,shot,seed,epoch,residual_scale,residual_warmup_factor,high_confidence_guard_mode,guard_floor,guard_tau,guard_temperature,train_loss,train_ce_loss,train_supcon_loss,train_gate_confidence_penalty,train_mean_guard,train_accuracy,val_loss,val_OA,val_AA,val_Kappa,val_Macro-F1,val_Weighted-F1
salinas,spectral_qnn_confguard_gated_supcon,10,4,1,1.0,1.0,none,0.05,0.35,0.08,2.629492425918579,2.5077164649963377,0.533389400690794,0.07549063041806221,1.0,0.3,2.2083185791969298,0.46875,0.46875,0.43333333333333335,0.3772774899599844,0.37727748995998434
salinas,spectral_qnn_confguard_gated_supcon,10,4,2,1.0,1.0,none,0.05,0.35,0.08,2.0932690620422365,1.985653805732727,0.4466483682394028,0.09142779484391213,1.0,0.5125,1.7564875125885009,0.58125,0.58125,0.5533333333333333,0.5226133822229158,0.5226133822229156
salinas,spectral_qnn_confguard_gated_supcon,10,4,3,1.0,1.0,none,0.05,0.35,0.08,1.6796759605407714,1.5534074902534485,0.5111261457204819,0.12021629437804222,1.0,0.65625,1.363965892791748,0.75625,0.75625,0.74,0.7195943303137239,0.719594330313724
salinas,spectral_qnn_confguard_gated_supcon,10,4,4,1.0,1.0,none,0.05,0.35,0.08,1.296188187599182,1.1844592154026032,0.40325671136379243,0.15538812130689622,1.0,0.8,1.0396917760372162,0.8375,0.8375,0.8266666666666667,0.7910244908600172,0.7910244908600171
salinas,spectral_qnn_confguard_gated_supcon,10,4,5,1.0,1.0,none,0.05,0.35,0.08,1.012035858631134,0.8926117241382598,0.40698129385709764,0.19013938456773757,1.0,0.8875,0.7879738807678223,0.9,0.9,0.8933333333333333,0.8855517896885661,0.8855517896885662
salinas,spectral_qnn_confguard_gated_supcon,10,4,6,1.0,1.0,none,0.05,0.35,0.08,0.8030171990394592,0.6642009198665619,0.47371565997600557,0.2203657805919647,1.0,0.95,0.6025293558835983,0.925,0.9249999999999999,0.92,0.9189897578055473,0.9189897578055473
salinas,spectral_qnn_confguard_gated_supcon,10,4,7,1.0,1.0,none,0.05,0.35,0.08,0.6452781677246093,0.5043852508068085,0.46428779140114784,0.24017680436372757,1.0,0.98125,0.46844496577978134,0.95625,0.95625,0.9533333333333334,0.955431903622693,0.955431903622693
salinas,spectral_qnn_confguard_gated_supcon,10,4,8,1.0,1.0,none,0.05,0.35,0.08,0.5598554968833923,0.38922424614429474,0.6036660492420196,0.2494901567697525,1.0,0.99375,0.37653475552797316,0.9625,0.9624999999999999,0.96,0.9619264875355871,0.9619264875355871
salinas,spectral_qnn_confguard_gated_supcon,10,4,9,1.0,1.0,none,0.05,0.35,0.08,0.45134651064872744,0.30973444879055023,0.461724004894495,0.24633627086877824,1.0,0.98125,0.3156819224357605,0.95,0.95,0.9466666666666667,0.947774739880003,0.947774739880003
salinas,spectral_qnn_confguard_gated_supcon,10,4,10,1.0,1.0,none,0.05,0.35,0.08,0.40029884576797486,0.25531239062547684,0.49113972336053846,0.23379252701997758,1.0,0.9875,0.27377627193927767,0.9625,0.9624999999999999,0.96,0.9619264875355871,0.9619264875355871
salinas,spectral_qnn_confguard_gated_supcon,10,4,11,1.0,1.0,none,0.05,0.35,0.08,0.34364059567451477,0.21615753322839737,0.4244534507393837,0.21296186298131942,1.0,1.0,0.24275344461202622,0.9625,0.9624999999999999,0.96,0.9619264875355871,0.9619264875355871
