experiment,model,runs,parameters_mean,time_seconds_mean,best_val_oa_mean,best_val_aa_mean,best_val_macro_f1_mean
spectral_branch_random_split,embedding_mlp,3,9552.0,0.7,99.09,99.38,99.41
spectral_branch_random_split,spectral_mlp_fusion,3,2772.0,0.77,98.89,99.17,97.94
spectral_branch_random_split,spectral_qnn_fusion,3,2596.0,35.17,98.86,99.15,97.92
spectral_branch_random_split,embedding_linear,3,2320.0,0.46,98.83,99.11,97.85
spectral_branch_random_split,spectral_gated_qnn_fusion,3,3071.0,33.45,98.76,99.07,97.81
parameter_matched_random_split,mlp_h64,3,9552.0,0.72,99.09,99.38,99.41
parameter_matched_random_split,residual_qnn_q4_l1_linear,3,2928.0,49.84,98.37,98.92,98.98
parameter_matched_random_split,gated_residual_qnn_q4_l1_linear,3,3313.0,45.68,98.31,98.33,98.51
parameter_matched_random_split,mlp_h128,3,18832.0,0.69,98.89,98.72,98.48
parameter_matched_random_split,bottleneck_b16,3,2592.0,0.85,98.37,97.78,98.41
parameter_matched_random_split,linear_probe,3,2320.0,0.45,98.83,99.11,97.85
parameter_matched_random_split,bottleneck_b8,3,1432.0,0.83,97.27,84.14,84.44
parameter_matched_random_split,bottleneck_b4,3,852.0,0.82,76.68,57.82,54.4
spatial_split_head_comparison,linear_probe,1,,0.71,49.66,17.71,11.0
spatial_split_head_comparison,mlp_h64,1,,0.84,56.58,19.11,14.16
spatial_split_head_comparison,residual_qnn_q4_l1_linear,1,,44.88,52.3,18.35,12.18
spatial_split_head_comparison,gated_residual_qnn_q4_l1_linear,1,,50.35,50.77,18.02,11.25
