dataset,model,shot,seed,epoch,train_loss,train_ce_loss,train_metric_loss,train_accuracy,val_loss,val_OA,val_AA,val_Kappa,val_Macro-F1,val_Weighted-F1
salinas,spectral_qnn_multiproto,10,1,1,2.9812521934509277,2.9647781610488892,0.08237008880823851,0.15,2.6181461811065674,0.2625,0.26249999999999996,0.21333333333333337,0.17267778822055135,0.17267778822055138
salinas,spectral_qnn_multiproto,10,1,2,2.3789333939552306,2.3631847739219665,0.0787432450801134,0.325,2.0872947096824648,0.44375,0.44375000000000003,0.4066666666666666,0.3655319152766975,0.36553191527669754
salinas,spectral_qnn_multiproto,10,1,3,1.8691357016563415,1.8539947509765624,0.07570473896339536,0.61875,1.6318997859954834,0.68125,0.68125,0.6599999999999999,0.5897214703601952,0.5897214703601952
salinas,spectral_qnn_multiproto,10,1,4,1.4374433398246764,1.4228453993797303,0.07298973901197314,0.79375,1.2527225196361542,0.8125,0.8125,0.8,0.773722749969553,0.7737227499695529
salinas,spectral_qnn_multiproto,10,1,5,1.0870329022407532,1.0730855524539948,0.06973668215796351,0.8875,0.9397838532924652,0.9,0.9,0.8933333333333333,0.8757336770780706,0.8757336770780706
salinas,spectral_qnn_multiproto,10,1,6,0.8079679071903229,0.7945796489715576,0.06694129444658756,0.90625,0.710213229060173,0.9125,0.9125,0.9066666666666666,0.8896780303030303,0.8896780303030303
salinas,spectral_qnn_multiproto,10,1,7,0.6040871441364288,0.5913118064403534,0.06387669006362558,0.925,0.5494094729423523,0.925,0.925,0.92,0.9040404040404041,0.904040404040404
salinas,spectral_qnn_multiproto,10,1,8,0.4650009900331497,0.45278281569480894,0.0610908973030746,0.95625,0.43613100349903106,0.95,0.95,0.9466666666666667,0.9461649461649462,0.9461649461649462
salinas,spectral_qnn_multiproto,10,1,9,0.36752493381500245,0.35595413446426394,0.057854012306779626,0.975,0.3594349458813667,0.95625,0.95625,0.9533333333333334,0.9525255446308079,0.9525255446308079
salinas,spectral_qnn_multiproto,10,1,10,0.29981533735990523,0.2888993740081787,0.05457983631640673,0.9875,0.30459356009960176,0.975,0.975,0.9733333333333334,0.9747474747474748,0.9747474747474747
salinas,spectral_qnn_multiproto,10,1,11,0.253117236495018,0.24280577301979064,0.051557323243469,0.99375,0.26696352288126945,0.96875,0.96875,0.9666666666666667,0.968192151695988,0.968192151695988
salinas,spectral_qnn_multiproto,10,1,12,0.21628884673118592,0.20670573860406877,0.047915533371269706,0.99375,0.23652325123548507,0.98125,0.98125,0.98,0.9811080732133364,0.9811080732133363
salinas,spectral_qnn_multiproto,10,1,13,0.18875121623277663,0.1798102669417858,0.04470475181005895,0.99375,0.21291400492191315,0.98125,0.98125,0.98,0.9811080732133364,0.9811080732133363
salinas,spectral_qnn_multiproto,10,1,14,0.1679848849773407,0.15960769802331926,0.0418859276920557,0.99375,0.1941538631916046,0.98125,0.98125,0.98,0.9811080732133364,0.9811080732133363
salinas,spectral_qnn_multiproto,10,1,15,0.15094260722398758,0.14316139370203018,0.03890606891363859,0.99375,0.1797940231859684,0.98125,0.98125,0.98,0.9811080732133364,0.9811080732133363
salinas,spectral_qnn_multiproto,10,1,16,0.13952818959951402,0.13231316953897476,0.03607510244473815,0.9875,0.16542482674121856,0.99375,0.99375,0.9933333333333333,0.993734335839599,0.9937343358395989
salinas,spectral_qnn_multiproto,10,1,17,0.1240116834640503,0.11721043959259987,0.03400622014887631,1.0,0.1555041465908289,0.98125,0.98125,0.98,0.9811080732133364,0.9811080732133363
salinas,spectral_qnn_multiproto,10,1,18,0.11615655831992626,0.10977338254451752,0.03191588488407433,0.9875,0.1481733202934265,0.98125,0.98125,0.98,0.9811080732133364,0.9811080732133363
salinas,spectral_qnn_multiproto,10,1,19,0.10362743586301804,0.09758335500955581,0.03022040305659175,0.99375,0.13562249727547168,0.99375,0.99375,0.9933333333333333,0.993734335839599,0.9937343358395989
salinas,spectral_qnn_multiproto,10,1,20,0.09735842309892177,0.09148276224732399,0.029378296667709948,1.0,0.12871300242841244,0.99375,0.99375,0.9933333333333333,0.993734335839599,0.9937343358395989
salinas,spectral_qnn_multiproto,10,1,21,0.08945754915475845,0.08395377285778523,0.02751888260245323,1.0,0.1230494923889637,0.9875,0.9875,0.9866666666666667,0.987468671679198,0.987468671679198
salinas,spectral_qnn_multiproto,10,1,22,0.08404764123260974,0.07877606749534607,0.026357869431376458,0.99375,0.11668590642511845,0.9875,0.9875,0.9866666666666667,0.987468671679198,0.987468671679198
salinas,spectral_qnn_multiproto,10,1,23,0.07864984199404716,0.07359378114342689,0.02528030490502715,1.0,0.11056576110422611,0.99375,0.99375,0.9933333333333333,0.993734335839599,0.9937343358395989
salinas,spectral_qnn_multiproto,10,1,24,0.07292671985924244,0.06801033914089202,0.024581906152889132,1.0,0.10763842798769474,0.98125,0.98125,0.98,0.9811080732133364,0.9811080732133363
salinas,spectral_qnn_multiproto,10,1,25,0.06949686948210002,0.06460024770349264,0.0244831086602062,0.99375,0.10178408473730087,0.98125,0.98125,0.98,0.9811080732133364,0.9811080732133363
salinas,spectral_qnn_multiproto,10,1,26,0.06407704800367356,0.05939018540084362,0.023434311710298063,1.0,0.09666388854384422,0.99375,0.99375,0.9933333333333333,0.993734335839599,0.9937343358395989
