0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3705,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,1956,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1361,13,0,0,0,0,0,0,0,0,0,0,0
0,0,4,93,2555,6,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,3939,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,17,3542,0,0,0,0,0,0,0,0,0
0,0,0,34,0,1,0,7731,0,83,0,0,0,0,3402,0
0,0,0,0,0,0,0,0,6183,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,85,3095,30,0,0,48,0,0
0,0,0,0,0,0,0,0,0,0,1048,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,2,1891,14,0,0,0
0,0,0,0,0,0,0,0,0,0,0,12,877,7,0,0
0,0,0,0,0,0,0,0,0,2,0,0,52,996,0,0
0,0,0,86,0,0,0,685,0,1,0,0,0,0,6476,0
0,0,0,17,4,0,0,0,0,0,0,0,0,0,0,1766
